Hand,Fold,Raise2.5,Allin100
22,0,0,-1.44
32o,0,-0.18,-2.05
32s,0,-0.1,-1.63
33,0,0.03,-1.39
42o,0,-0.16,-2.01
42s,0,-0.08,-1.59
43o,0,-0.12,-1.84
43s,0,-0.04,-1.44
44,0,0.07,-1.35
52o,0,-0.14,-1.96
52s,0,-0.07,-1.55
53o,0,-0.1,-1.79
53s,0,-0.02,-1.39
54o,0,-0.07,-1.63
54s,0,0,-1.24
55,0,0.12,-1.29
62o,0,-0.18,-2.12
62s,0,-0.1,-1.7
63o,0,-0.14,-1.95
63s,0,-0.06,-1.54
64o,0,-0.09,-1.78
64s,0,-0.02,-1.38
65o,0,-0.07,-1.61
65s,0,0.01,-1.22
66,0,0.17,-1.29
72o,0,-0.2,-2.25
72s,0,-0.12,-1.83
73o,0,-0.16,-2.08
73s,0,-0.08,-1.67
74o,0,-0.11,-1.91
74s,0,-0.03,-1.51
75o,0,-0.07,-1.74
75s,0,0,-1.34
76o,0,-0.05,-1.62
76s,0,0.02,-1.23
77,0,0.23,-1.29
82o,0,-0.18,-2.22
82s,0,-0.1,-1.79
83o,0,-0.17,-2.21
83s,0,-0.1,-1.79
84o,0,-0.13,-2.04
84s,0,-0.05,-1.63
85o,0,-0.09,-1.87
85s,0,-0.01,-1.47
86o,0,-0.06,-1.74
86s,0,0.02,-1.35
87o,0,-0.03,-1.64
87s,0,0.05,-1.25
88,0,0.33,-1.28
92o,0,-0.16,-2.16
92s,0,-0.08,-1.74
93o,0,-0.14,-2.12
93s,0,-0.07,-1.7
94o,0,-0.13,-2.12
94s,0,-0.05,-1.7
95o,0,-0.1,-1.94
95s,0,-0.02,-1.54
96o,0,-0.07,-1.81
96s,0,0.01,-1.42
97o,0,-0.03,-1.7
97s,0,0.05,-1.31
98o,0,0,-1.63
98s,0,0.08,-1.25
99,0,0.77,-1.16
A2o,0,-0.01,-0.67
A2s,0,0.13,-0.33
A3o,0,0,-0.63
A3s,0,0.14,-0.29
A4o,0,0.02,-0.6
A4s,0,0.16,-0.26
A5o,0,0.04,-0.56
A5s,0,0.19,-0.23
A6o,0,0.02,-0.69
A6s,0,0.16,-0.35
A7o,0,0.04,-0.67
A7s,0,0.18,-0.33
A8o,0,0.07,-0.67
A8s,0,0.22,-0.33
A9o,0,0.13,-0.64
A9s,0,0.32,-0.31
AA,0,9.62,3.79
AJo,0,0.31,-0.33
AJs,0,0.96,-0.03
AKo,0,2.75,0.53
AKs,0,3.37,0.76
AQo,0,0.88,-0.04
AQs,0,1.55,0.24
ATo,0,0.24,-0.54
ATs,0,0.68,-0.21
J2o,0,-0.11,-1.85
J2s,0,-0.03,-1.46
J3o,0,-0.1,-1.81
J3s,0,-0.01,-1.42
J4o,0,-0.08,-1.77
J4s,0,0,-1.39
J5o,0,-0.06,-1.73
J5s,0,0.01,-1.34
J6o,0,-0.06,-1.76
J6s,0,0.02,-1.38
J7o,0,-0.03,-1.64
J7s,0,0.05,-1.26
J8o,0,0,-1.53
J8s,0,0.08,-1.16
J9o,0,0.04,-1.4
J9s,0,0.12,-1.04
JJ,0,3.13,-0.39
JTo,0,0.13,-1.3
JTs,0,0.26,-0.95
K2o,0,-0.07,-1.21
K2s,0,0.05,-0.85
K3o,0,-0.05,-1.18
K3s,0,0.07,-0.81
K4o,0,-0.03,-1.14
K4s,0,0.09,-0.78
K5o,0,-0.01,-1.1
K5s,0,0.1,-0.74
K6o,0,0,-1.1
K6s,0,0.11,-0.74
K7o,0,0,-1.1
K7s,0,0.11,-0.74
K8o,0,0,-1.12
K8s,0,0.12,-0.76
K9o,0,0.05,-1.01
K9s,0,0.18,-0.66
KJo,0,0.2,-0.66
KJs,0,0.61,-0.35
KK,0,7.08,2.24
KQo,0,0.28,-0.37
KQs,0,0.83,-0.08
KTo,0,0.16,-0.88
KTs,0,0.42,-0.54
Q2o,0,-0.1,-1.55
Q2s,0,0,-1.17
Q3o,0,-0.08,-1.51
Q3s,0,0.01,-1.14
Q4o,0,-0.06,-1.48
Q4s,0,0.03,-1.11
Q5o,0,-0.04,-1.44
Q5s,0,0.05,-1.06
Q6o,0,-0.03,-1.44
Q6s,0,0.06,-1.07
Q7o,0,-0.03,-1.46
Q7s,0,0.06,-1.09
Q8o,0,0,-1.35
Q8s,0,0.09,-0.99
Q9o,0,0.04,-1.22
Q9s,0,0.14,-0.87
QJo,0,0.17,-0.88
QJs,0,0.35,-0.56
QQ,0,4.88,0.87
QTo,0,0.14,-1.11
QTs,0,0.27,-0.76
T2o,0,-0.13,-2.16
T2s,0,-0.04,-1.74
T3o,0,-0.11,-2.11
T3s,0,-0.03,-1.7
T4o,0,-0.09,-2.08
T4s,0,-0.01,-1.66
T5o,0,-0.08,-2.06
T5s,0,0,-1.65
T6o,0,-0.06,-1.94
T6s,0,0.01,-1.53
T7o,0,-0.03,-1.82
T7s,0,0.05,-1.43
T8o,0,0,-1.73
T8s,0,0.08,-1.33
T9o,0,0.04,-1.61
T9s,0,0.12,-1.22
TT,0,1.85,-1.02
