Hand,Fold,Call,Raise3,Allin100
22,0,22,78,0
32o,100,0,0,0
32s,100,0,0,0
33,0,23,77,0
42o,100,0,0,0
42s,100,0,0,0
43o,100,0,0,0
43s,100,0,0,0
44,0,26.5,73.5,0
52o,100,0,0,0
52s,100,0,0,0
53o,100,0,0,0
53s,0,40,60,0
54o,100,0,0,0
54s,0,26.5,73.5,0
55,0,26,74,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,100,0,0,0
64o,100,0,0,0
64s,0,30,70,0
65o,100,0,0,0
65s,0,21,79,0
66,0,29.5,70.5,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,0,54.5,45.5,0
75o,100,0,0,0
75s,0,14.5,85.5,0
76o,89.5,10.5,0,0
76s,0,10.5,89.5,0
77,0,31.5,68.5,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,0,13.5,86.5,0
86o,100,0,0,0
86s,0,14,86,0
87o,73.7,17.6,8.6,0
87s,0,10.5,89.5,0
88,0,28,72,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,0,55,45,0
96o,100,0,0,0
96s,0,11.5,88.5,0
97o,92,8,0,0
97s,0,7,93,0
98o,0,35.5,64.5,0
98s,0,25.5,74.5,0
99,0,24.5,75.5,0
A2o,75.5,24.5,0,0
A2s,0,15,85,0
A3o,0,36.5,63.5,0
A3s,0,38,62,0
A4o,0,27,73,0
A4s,0,28.5,71.5,0
A5o,0,11,89,0
A5s,0,31.5,68.5,0
A6o,0,23,77,0
A6s,0,32.5,67.5,0
A7o,0,13,87,0
A7s,0,28.5,71.5,0
A8o,0,5.5,94.5,0
A8s,0,21,79,0
A9o,0,1.5,98.5,0
A9s,0,15.5,84.5,0
AA,0,2.5,97.5,0
AJo,0,15.5,84.5,0
AJs,0,0,100,0
AKo,0,12.5,87.5,0
AKs,0,0,100,0
AQo,0,8,92,0
AQs,0,0,100,0
ATo,0,16.5,83.5,0
ATs,0,2,98,0
J2o,100,0,0,0
J2s,78.5,21.5,0,0
J3o,100,0,0,0
J3s,0,49.5,50.5,0
J4o,100,0,0,0
J4s,0,31.5,68.5,0
J5o,100,0,0,0
J5s,0,15,85,0
J6o,100,0,0,0
J6s,0,15,85,0
J7o,100,0,0,0
J7s,0,9,91,0
J8o,36.5,29.5,34,0
J8s,0,16,84,0
J9o,0,28,72,0
J9s,0,30,70,0
JJ,0,10.5,89.5,0
JTo,0,15.5,84.5,0
JTs,0,32.5,67.5,0
K2o,100,0,0,0
K2s,0,7,93,0
K3o,100,0,0,0
K3s,0,8,92,0
K4o,100,0,0,0
K4s,0,14,86,0
K5o,97.5,2.5,0,0
K5s,0,12,88,0
K6o,79.5,20.5,0,0
K6s,0,10,90,0
K7o,39.8,40.2,20.1,0
K7s,0,17.5,82.5,0
K8o,0,37,63,0
K8s,0,25,75,0
K9o,0,19,81,0
K9s,0,22,78,0
KJo,0,19.5,80.5,0
KJs,0,0,100,0
KK,0,11.5,88.5,0
KQo,0,21,79,0
KQs,0,5.5,94.5,0
KTo,0,15.5,84.5,0
KTs,0,21.5,78.5,0
Q2o,100,0,0,0
Q2s,0,24,76,0
Q3o,100,0,0,0
Q3s,0,15,85,0
Q4o,100,0,0,0
Q4s,0,14,86,0
Q5o,100,0,0,0
Q5s,0,13.5,86.5,0
Q6o,100,0,0,0
Q6s,0,10,90,0
Q7o,99.5,0.5,0,0
Q7s,0,11.5,88.5,0
Q8o,22,43.5,34.5,0
Q8s,0,13,87,0
Q9o,0,26,74,0
Q9s,0,30.5,69.5,0
QJo,0,14,86,0
QJs,0,23.5,76.5,0
QQ,0,11,89,0
QTo,0,15,85,0
QTs,0,32.5,67.5,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,82,18,0,0
T5o,100,0,0,0
T5s,0,63.5,36.5,0
T6o,100,0,0,0
T6s,0,10,90,0
T7o,95.5,4.5,0,0
T7s,0,11,89,0
T8o,0,34,66,0
T8s,0,27,73,0
T9o,0,22.5,77.5,0
T9s,0,31,69,0
TT,0,12,88,0
