Hand,Fold,Call,Raise13,Allin100
22,0,100,0,0
32o,100,0,0,0
32s,100,0,0,0
33,0,100,0,0
42o,100,0,0,0
42s,88.5,11.5,0,0
43o,100,0,0,0
43s,0,100,0,0
44,0,100,0,0
52o,100,0,0,0
52s,40.5,59.5,0,0
53o,100,0,0,0
53s,0,100,0,0
54o,100,0,0,0
54s,0,60,40,0
55,0,92,8,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,57,43,0,0
64o,100,0,0,0
64s,0,100,0,0
65o,100,0,0,0
65s,0,69,31,0
66,0,96,4,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,16.5,83.5,0,0
75o,100,0,0,0
75s,0,97,3,0
76o,100,0,0,0
76s,0,72,28,0
77,0,93,7,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,0,100,0,0
86o,100,0,0,0
86s,0,90,10,0
87o,100,0,0,0
87s,0,81.5,18.5,0
88,0,86,14,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,100,0,0,0
96o,100,0,0,0
96s,0,100,0,0
97o,100,0,0,0
97s,0,92,8,0
98o,100,0,0,0
98s,0,71,29,0
99,0,60,40,0
A2o,100,0,0,0
A2s,0,90,10,0
A3o,91.5,0,8.5,0
A3s,0,94.5,5.5,0
A4o,57.5,9,33.5,0
A4s,0,62.5,37.5,0
A5o,0,60.5,39.5,0
A5s,0,0,100,0
A6o,87.6,1,11.4,0
A6s,0,100,0,0
A7o,0,45.5,54.5,0
A7s,0,100,0,0
A8o,0,69.5,30.5,0
A8s,0,100,0,0
A9o,0,83,17,0
A9s,0,100,0,0
AA,0,0,100,0
AJo,0,82.5,17.5,0
AJs,0,0,100,0
AKo,0,0,100,0
AKs,0,0,100,0
AQo,0,17.5,82.5,0
AQs,0,0,100,0
ATo,0,66,34,0
ATs,0,97.5,2.5,0
J2o,100,0,0,0
J2s,100,0,0,0
J3o,100,0,0,0
J3s,94.5,5.5,0,0
J4o,100,0,0,0
J4s,6,54.8,39.2,0
J5o,100,0,0,0
J5s,0,63.5,36.5,0
J6o,100,0,0,0
J6s,0,51,49,0
J7o,100,0,0,0
J7s,0,67,33,0
J8o,100,0,0,0
J8s,0,89,11,0
J9o,45.9,36.5,17.5,0
J9s,0,83.5,16.5,0
JJ,0,0,100,0
JTo,0,73.5,26.5,0
JTs,0,56.5,43.5,0
K2o,100,0,0,0
K2s,0,77.5,22.5,0
K3o,100,0,0,0
K3s,0,79,21,0
K4o,100,0,0,0
K4s,0,96.5,3.5,0
K5o,100,0,0,0
K5s,0,88,12,0
K6o,100,0,0,0
K6s,0,86,14,0
K7o,100,0,0,0
K7s,0,77.5,22.5,0
K8o,88,0,12,0
K8s,0,100,0,0
K9o,0,47.5,52.5,0
K9s,0,100,0,0
KJo,0,51,49,0
KJs,0,93.5,6.5,0
KK,0,0,100,0
KQo,0,71.5,28.5,0
KQs,0,0,100,0
KTo,0,57.5,42.5,0
KTs,0,56,44,0
Q2o,100,0,0,0
Q2s,0,51,49,0
Q3o,100,0,0,0
Q3s,0,56.5,43.5,0
Q4o,100,0,0,0
Q4s,0,70.5,29.5,0
Q5o,100,0,0,0
Q5s,0,96,4,0
Q6o,100,0,0,0
Q6s,0,89,11,0
Q7o,100,0,0,0
Q7s,0,80.5,19.5,0
Q8o,100,0,0,0
Q8s,0,84,16,0
Q9o,51.2,30.8,17.9,0
Q9s,0,100,0,0
QJo,0,58,42,0
QJs,0,100,0,0
QQ,0,0,100,0
QTo,0,55.5,44.5,0
QTs,0,100,0,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,100,0,0,0
T5o,100,0,0,0
T5s,100,0,0,0
T6o,100,0,0,0
T6s,0,58.5,41.5,0
T7o,100,0,0,0
T7s,0,91,9,0
T8o,100,0,0,0
T8s,0,89.5,10.5,0
T9o,7.5,68.7,23.9,0
T9s,0,39.5,60.5,0
TT,0,0,100,0
