Hand,Fold,Call,Raise13,Allin100
22,0,0.48,0.3,-0.23
32o,0,-0.31,-0.39,-2.15
32s,0,-0.02,-0.12,-1.39
33,0,0.51,0.42,-0.17
42o,0,-0.3,-0.38,-2.1
42s,0,0,-0.1,-1.34
43o,0,-0.26,-0.3,-1.83
43s,0,0.04,-0.01,-1.08
44,0,0.55,0.53,-0.1
52o,0,-0.3,-0.35,-2.05
52s,0,0,-0.08,-1.29
53o,0,-0.21,-0.25,-1.78
53s,0,0.1,0.09,-1.04
54o,0,-0.09,-0.2,-1.5
54s,0,0.22,0.22,-0.77
55,0,0.65,0.65,-0.03
62o,0,-0.4,-0.44,-2.35
62s,0,-0.1,-0.17,-1.57
63o,0,-0.3,-0.34,-2.09
63s,0,0,-0.07,-1.32
64o,0,-0.2,-0.25,-1.8
64s,0,0.1,0.08,-1.05
65o,0,-0.09,-0.19,-1.51
65s,0,0.22,0.22,-0.78
66,0,0.82,0.82,-0.05
72o,0,-0.48,-0.52,-2.6
72s,0,-0.18,-0.24,-1.8
73o,0,-0.39,-0.42,-2.33
73s,0,-0.09,-0.14,-1.55
74o,0,-0.3,-0.31,-2.05
74s,0,0,-0.03,-1.28
75o,0,-0.17,-0.22,-1.75
75s,0,0.12,0.12,-1
76o,0,-0.04,-0.14,-1.55
76s,0,0.27,0.27,-0.81
77,0,1.02,1.02,-0.05
82o,0,-0.44,-0.45,-2.58
82s,0,-0.14,-0.17,-1.79
83o,0,-0.46,-0.46,-2.61
83s,0,-0.16,-0.19,-1.81
84o,0,-0.36,-0.37,-2.32
84s,0,-0.06,-0.09,-1.54
85o,0,-0.28,-0.26,-2.03
85s,0,0.02,0.02,-1.27
86o,0,-0.11,-0.15,-1.82
86s,0,0.2,0.19,-1.06
87o,0,-0.02,-0.1,-1.63
87s,0,0.29,0.29,-0.88
88,0,1.27,1.27,-0.08
92o,0,-0.44,-0.47,-2.69
92s,0,-0.12,-0.18,-1.89
93o,0,-0.43,-0.45,-2.64
93s,0,-0.12,-0.16,-1.84
94o,0,-0.45,-0.46,-2.66
