Hand,Fold,Call,Raise7.5,Allin100
22,73.6,13.4,12.9,0
32o,100,0,0,0
32s,100,0,0,0
33,69,15,16,0
42o,100,0,0,0
42s,100,0,0,0
43o,100,0,0,0
43s,100,0,0,0
44,63,19.5,17.5,0
52o,100,0,0,0
52s,100,0,0,0
53o,100,0,0,0
53s,100,0,0,0
54o,100,0,0,0
54s,76,24,0,0
55,54.5,28.5,17,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,100,0,0,0
64o,100,0,0,0
64s,100,0,0,0
65o,100,0,0,0
65s,86.5,13,0.5,0
66,27.9,49.3,22.9,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,100,0,0,0
75o,100,0,0,0
75s,100,0,0,0
76o,100,0,0,0
76s,89.5,10.5,0,0
77,0,70.5,29.5,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,100,0,0,0
86o,100,0,0,0
86s,100,0,0,0
87o,100,0,0,0
87s,92,8,0,0
88,0,77.5,22.5,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,100,0,0,0
96o,100,0,0,0
96s,100,0,0,0
97o,100,0,0,0
97s,100,0,0,0
98o,100,0,0,0
98s,86.5,13.5,0,0
99,0,79.5,20.5,0
A2o,100,0,0,0
A2s,17.1,0,82.9,0
A3o,100,0,0,0
A3s,0,23,77,0
A4o,100,0,0,0
A4s,0,35.5,64.5,0
A5o,100,0,0,0
A5s,0,35.5,64.5,0
A6o,100,0,0,0
A6s,52.5,8,39.5,0
A7o,100,0,0,0
A7s,0,15.5,84.5,0
A8o,100,0,0,0
A8s,0,43,57,0
A9o,100,0,0,0
A9s,0,45,55,0
AA,0,0,100,0
AJo,0,19,81,0
AJs,0,80,20,0
AKo,0,3,97,0
AKs,0,0,100,0
AQo,0,46,54,0
AQs,0,13,87,0
ATo,71,0,29,0
ATs,0,77,23,0
J2o,100,0,0,0
J2s,100,0,0,0
J3o,100,0,0,0
J3s,100,0,0,0
J4o,100,0,0,0
J4s,100,0,0,0
J5o,100,0,0,0
J5s,100,0,0,0
J6o,100,0,0,0
J6s,100,0,0,0
J7o,100,0,0,0
J7s,100,0,0,0
J8o,100,0,0,0
J8s,100,0,0,0
J9o,100,0,0,0
J9s,100,0,0,0
JJ,0,58,42,0
JTo,100,0,0,0
JTs,0,79,21,0
K2o,100,0,0,0
K2s,100,0,0,0
K3o,100,0,0,0
K3s,100,0,0,0
K4o,100,0,0,0
K4s,100,0,0,0
K5o,100,0,0,0
K5s,88,0,12,0
K6o,100,0,0,0
K6s,88,12,0,0
K7o,100,0,0,0
K7s,100,0,0,0
K8o,100,0,0,0
K8s,100,0,0,0
K9o,100,0,0,0
K9s,0,30.5,69.5,0
KJo,61.8,12,26.1,0
KJs,0,27.5,72.5,0
KK,0,0,100,0
KQo,0,6,94,0
KQs,0,79,21,0
KTo,71.5,0,28.5,0
KTs,0,58.5,41.5,0
Q2o,100,0,0,0
Q2s,100,0,0,0
Q3o,100,0,0,0
Q3s,100,0,0,0
Q4o,100,0,0,0
Q4s,100,0,0,0
Q5o,100,0,0,0
Q5s,100,0,0,0
Q6o,100,0,0,0
Q6s,100,0,0,0
Q7o,100,0,0,0
Q7s,100,0,0,0
Q8o,100,0,0,0
Q8s,100,0,0,0
Q9o,100,0,0,0
Q9s,100,0,0,0
QJo,100,0,0,0
QJs,0,72,28,0
QQ,0,9.5,90.5,0
QTo,100,0,0,0
QTs,0,29.5,70.5,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,100,0,0,0
T5o,100,0,0,0
T5s,100,0,0,0
T6o,100,0,0,0
T6s,100,0,0,0
T7o,100,0,0,0
T7s,100,0,0,0
T8o,100,0,0,0
T8s,100,0,0,0
T9o,100,0,0,0
T9s,83,17,0,0
TT,0,67,33,0
