Hand,Fold,Call,Raise7.5,Allin100
22,0,0,0,-4
32o,0,-0.56,-0.35,-5.55
32s,0,-0.29,-0.27,-4.44
33,0,0,0,-3.84
42o,0,-0.52,-0.34,-5.46
42s,0,-0.24,-0.26,-4.36
43o,0,-0.4,-0.29,-4.99
43s,0,-0.12,-0.21,-3.94
44,0,0,0,-3.68
52o,0,-0.48,-0.33,-5.37
52s,0,-0.2,-0.25,-4.27
53o,0,-0.33,-0.28,-4.88
53s,0,-0.04,-0.2,-3.82
54o,0,-0.29,-0.24,-4.48
54s,0,0,-0.03,-3.44
55,0,0,0,-3.52
62o,0,-0.63,-0.37,-5.58
62s,0,-0.35,-0.29,-4.47
63o,0,-0.48,-0.32,-5.08
63s,0,-0.19,-0.23,-4.02
64o,0,-0.36,-0.27,-4.65
64s,0,-0.06,-0.2,-3.62
65o,0,-0.3,-0.24,-4.24
65s,0,0,0,-3.21
66,0,0,0,-3.15
72o,0,-0.78,-0.41,-5.99
72s,0,-0.5,-0.32,-4.85
73o,0,-0.63,-0.35,-5.5
73s,0,-0.34,-0.27,-4.4
74o,0,-0.51,-0.31,-5.08
74s,0,-0.21,-0.23,-4
75o,0,-0.38,-0.28,-4.66
75s,0,-0.08,-0.2,-3.6
76o,0,-0.3,-0.26,-4.17
76s,0,0,-0.09,-3.16
77,0,0.02,0.02,-2.9
82o,0,-0.72,-0.39,-5.8
82s,0,-0.44,-0.31,-4.67
83o,0,-0.72,-0.38,-5.78
83s,0,-0.43,-0.3,-4.65
84o,0,-0.64,-0.34,-5.35
84s,0,-0.34,-0.26,-4.26
85o,0,-0.5,-0.31,-4.92
85s,0,-0.2,-0.22,-3.85
86o,0,-0.36,-0.28,-4.41
86s,0,-0.05,-0.2,-3.38
87o,0,-0.31,-0.26,-4.14
87s,0,0,-0.11,-3.11
88,0,0.07,0.07,-2.74
92o,0,-0.69,-0.39,-5.73
92s,0,-0.4,-0.3,-4.6
93o,0,-0.67,-0.37,-5.59
93s,0,-0.38,-0.29,-4.48
94o,0,-0.69,-0.37,-5.62
94s,0,-0.41,-0.29,-4.5
95o,0,-0.6,-0.33,-5.19
95s,0,-0.3,-0.25,-4.09
96o,0,-0.47,-0.3,-4.69
96s,0,-0.16,-0.22,-3.64
97o,0,-0.35,-0.27,-4.39
97s,0,-0.04,-0.18,-3.34
98o,0,-0.31,-0.25,-4.11
98s,0,0,-0.07,-3.08
99,0,0.2,0.2,-2.38
A2o,0,-0.42,-0.13,-2.15
A2s,0,0,0,-1.15
A3o,0,-0.39,-0.1,-2.02
A3s,0,0.02,0.02,-1.03
A4o,0,-0.38,-0.09,-1.88
A4s,0,0.03,0.03,-0.91
A5o,0,-0.33,-0.08,-1.82
A5s,0,0.08,0.08,-0.85
A6o,0,-0.42,-0.13,-2.06
A6s,0,0,0,-1.08
A7o,0,-0.41,-0.12,-1.96
A7s,0,0,0.01,-0.98
A8o,0,-0.39,-0.12,-1.9
A8s,0,0,0,-0.92
A9o,0,-0.37,-0.12,-1.81
A9s,0,0.01,0.01,-0.84
AA,0,11.18,15.07,10.49
AJo,0,0.01,0.01,-1.32
AJs,0,0.39,0.39,-0.38
AKo,0,1.85,1.85,0.7
AKs,0,2.48,2.76,1.48
AQo,0,0.22,0.22,-0.4
AQs,0,0.87,0.87,0.44
ATo,0,-0.16,0,-1.46
ATs,0,0.2,0.2,-0.52
J2o,0,-0.68,-0.34,-5.56
J2s,0,-0.39,-0.25,-4.41
J3o,0,-0.65,-0.33,-5.42
J3s,0,-0.36,-0.23,-4.29
J4o,0,-0.63,-0.31,-5.34
J4s,0,-0.34,-0.23,-4.22
J5o,0,-0.6,-0.31,-5.25
J5s,0,-0.31,-0.22,-4.12
J6o,0,-0.59,-0.32,-5.19
J6s,0,-0.3,-0.23,-4.08
J7o,0,-0.54,-0.28,-4.86
J7s,0,-0.24,-0.2,-3.76
J8o,0,-0.45,-0.25,-4.54
J8s,0,-0.16,-0.16,-3.46
J9o,0,-0.34,-0.23,-4.25
J9s,0,-0.05,-0.12,-3.18
JJ,0,1.18,1.18,-1.23
JTo,0,-0.25,-0.14,-4
JTs,0,0.02,0.02,-2.94
K2o,0,-0.47,-0.15,-3.53
K2s,0,-0.12,-0.04,-2.48
K3o,0,-0.44,-0.13,-3.4
K3s,0,-0.09,-0.03,-2.37
K4o,0,-0.42,-0.12,-3.26
K4s,0,-0.07,-0.02,-2.25
K5o,0,-0.37,-0.11,-3.24
K5s,0,-0.02,0,-2.21
K6o,0,-0.36,-0.11,-3.08
K6s,0,0,0,-2.07
K7o,0,-0.37,-0.12,-3.1
K7s,0,-0.02,0,-2.07
K8o,0,-0.38,-0.12,-3.1
K8s,0,-0.04,-0.01,-2.08
K9o,0,-0.33,-0.1,-2.77
K9s,0,0,0,-1.77
KJo,0,0,0,-2.38
KJs,0,0.32,0.32,-1.41
KK,0,6.88,8.51,5.67
KQo,0,0.16,0.16,-1.49
KQs,0,0.44,0.44,-0.62
KTo,0,-0.13,0,-2.43
KTs,0,0.17,0.17,-1.45
Q2o,0,-0.6,-0.19,-4.5
Q2s,0,-0.28,-0.09,-3.44
Q3o,0,-0.57,-0.17,-4.37
Q3s,0,-0.25,-0.07,-3.32
Q4o,0,-0.55,-0.16,-4.26
Q4s,0,-0.24,-0.06,-3.24
Q5o,0,-0.52,-0.15,-4.2
Q5s,0,-0.2,-0.05,-3.16
Q6o,0,-0.49,-0.15,-4.04
Q6s,0,-0.18,-0.06,-3.02
Q7o,0,-0.53,-0.16,-4.1
Q7s,0,-0.21,-0.06,-3.06
Q8o,0,-0.47,-0.14,-3.75
Q8s,0,-0.16,-0.03,-2.73
Q9o,0,-0.38,-0.12,-3.42
Q9s,0,-0.07,-0.01,-2.42
QJo,0,-0.18,-0.02,-3.04
QJs,0,0.08,0.08,-2.07
QQ,0,3.34,3.35,1.26
QTo,0,-0.2,-0.03,-3.12
QTs,0,0.08,0.08,-2.15
T2o,0,-0.72,-0.33,-5.67
T2s,0,-0.44,-0.24,-4.52
T3o,0,-0.69,-0.32,-5.53
T3s,0,-0.41,-0.23,-4.4
T4o,0,-0.69,-0.31,-5.45
T4s,0,-0.41,-0.22,-4.33
T5o,0,-0.68,-0.31,-5.45
T5s,0,-0.39,-0.22,-4.33
T6o,0,-0.59,-0.28,-4.96
T6s,0,-0.3,-0.19,-3.88
T7o,0,-0.48,-0.24,-4.64
T7s,0,-0.18,-0.16,-3.57
T8o,0,-0.38,-0.21,-4.32
T8s,0,-0.09,-0.12,-3.26
T9o,0,-0.3,-0.19,-3.99
T9s,0,0,-0.01,-2.96
TT,0,0.49,0.49,-1.85
