Hand,Fold,Call,Raise13.5,Allin100
22,0,100,0,0
32o,100,0,0,0
32s,45.5,54.5,0,0
33,0,100,0,0
42o,100,0,0,0
42s,0,100,0,0
43o,100,0,0,0
43s,0,100,0,0
44,0,100,0,0
52o,100,0,0,0
52s,0,100,0,0
53o,100,0,0,0
53s,0,100,0,0
54o,59.5,40.5,0,0
54s,0,68.5,31.5,0
55,0,100,0,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,0,100,0,0
64o,100,0,0,0
64s,0,100,0,0
65o,66.5,33.5,0,0
65s,0,70,30,0
66,0,99,1,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,0,100,0,0
75o,100,0,0,0
75s,0,100,0,0
76o,91.5,8.5,0,0
76s,0,82,18,0
77,0,94,6,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,0,100,0,0
86o,100,0,0,0
86s,0,100,0,0
87o,100,0,0,0
87s,0,81,19,0
88,0,99,1,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,100,0,0,0
96o,100,0,0,0
96s,0,100,0,0
97o,100,0,0,0
97s,0,100,0,0
98o,100,0,0,0
98s,0,99,1,0
99,0,97,3,0
A2o,100,0,0,0
A2s,0,72,28,0
A3o,100,0,0,0
A3s,0,77,23,0
A4o,100,0,0,0
A4s,0,84,16,0
A5o,100,0,0,0
A5s,0,39,61,0
A6o,100,0,0,0
A6s,0,100,0,0
A7o,100,0,0,0
A7s,0,97,3,0
A8o,100,0,0,0
A8s,0,100,0,0
A9o,100,0,0,0
A9s,0,100,0,0
AA,0,0,100,0
AJo,0,40,60,0
AJs,0,53,47,0
AKo,0,0,100,0
AKs,0,0,100,0
AQo,0,0,100,0
AQs,0,0,100,0
ATo,6.5,93.5,0,0
ATs,0,88,12,0
J2o,100,0,0,0
J2s,100,0,0,0
J3o,100,0,0,0
J3s,100,0,0,0
J4o,100,0,0,0
J4s,100,0,0,0
J5o,100,0,0,0
J5s,100,0,0,0
J6o,100,0,0,0
J6s,100,0,0,0
J7o,100,0,0,0
J7s,96.5,0,3.5,0
J8o,100,0,0,0
J8s,0,86,14,0
J9o,100,0,0,0
J9s,0,98.5,1.5,0
JJ,0,0,100,0
JTo,48.5,51.5,0,0
JTs,0,40,60,0
K2o,100,0,0,0
K2s,0,100,0,0
K3o,100,0,0,0
K3s,0,86.5,13.5,0
K4o,100,0,0,0
K4s,0,81,19,0
K5o,100,0,0,0
K5s,0,87,13,0
K6o,100,0,0,0
K6s,0,67.5,32.5,0
K7o,100,0,0,0
K7s,0,69,31,0
K8o,100,0,0,0
K8s,0,99.5,0.5,0
K9o,100,0,0,0
K9s,0,98,2,0
KJo,0,49,51,0
KJs,0,34,66,0
KK,0,0,100,0
KQo,0,36.5,63.5,0
KQs,0,48.5,51.5,0
KTo,51.5,48.5,0,0
KTs,0,87,13,0
Q2o,100,0,0,0
Q2s,100,0,0,0
Q3o,100,0,0,0
Q3s,100,0,0,0
Q4o,100,0,0,0
Q4s,83,17,0,0
Q5o,100,0,0,0
Q5s,38,62,0,0
Q6o,100,0,0,0
Q6s,51.5,48.5,0,0
Q7o,100,0,0,0
Q7s,59.5,40.5,0,0
Q8o,100,0,0,0
Q8s,0,86.5,13.5,0
Q9o,100,0,0,0
Q9s,0,100,0,0
QJo,0,66,34,0
QJs,0,0,100,0
QQ,0,0,100,0
QTo,83.5,16.5,0,0
QTs,0,100,0,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,100,0,0,0
T5o,100,0,0,0
T5s,100,0,0,0
T6o,100,0,0,0
T6s,100,0,0,0
T7o,100,0,0,0
T7s,0,100,0,0
T8o,100,0,0,0
T8s,0,100,0,0
T9o,100,0,0,0
T9s,0,100,0,0
TT,0,92.5,7.5,0
