Hand,Fold,Call,Raise13.5,Allin100
22,0,0.77,0.5,-4.44
32o,0,-0.13,-0.47,-7.87
32s,0,0,-0.2,-6.24
33,0,0.75,0.59,-4.27
42o,0,-0.13,-0.45,-7.76
42s,0,0,-0.18,-6.14
43o,0,-0.06,-0.33,-7.12
43s,0,0.09,0,-5.53
44,0,0.74,0.66,-4.16
52o,0,-0.13,-0.44,-7.68
52s,0,0.02,-0.17,-6.05
53o,0,-0.02,-0.31,-7.05
53s,0,0.15,0.03,-5.45
54o,0,0,-0.22,-6.44
54s,0,0.18,0.18,-4.89
55,0,0.75,0.73,-4.1
62o,0,-0.22,-0.56,-7.87
62s,0,-0.08,-0.28,-6.26
63o,0,-0.13,-0.42,-7.22
63s,0,0.01,-0.15,-5.62
64o,0,-0.03,-0.31,-6.61
64s,0,0.13,0.05,-5.06
65o,0,0,-0.24,-6.04
65s,0,0.18,0.18,-4.5
66,0,0.87,0.86,-3.17
72o,0,-0.29,-0.66,-8.54
72s,0,-0.16,-0.38,-6.83
73o,0,-0.22,-0.52,-7.89
73s,0,-0.07,-0.24,-6.24
74o,0,-0.16,-0.41,-7.29
74s,0,0.01,-0.14,-5.67
75o,0,-0.05,-0.31,-6.74
75s,0,0.12,0.03,-5.14
76o,0,0,-0.26,-5.9
76s,0,0.18,0.18,-4.37
77,0,1,1,-2.37
82o,0,-0.28,-0.63,-8.58
82s,0,-0.14,-0.35,-6.86
83o,0,-0.29,-0.62,-8.58
83s,0,-0.15,-0.35,-6.88
84o,0,-0.25,-0.53,-7.98
84s,0,-0.09,-0.25,-6.3
85o,0,-0.16,-0.42,-7.42
85s,0,0.01,-0.15,-5.77
86o,0,-0.05,-0.34,-6.56
86s,0,0.13,0.05,-4.99
87o,0,-0.01,-0.31,-6.21
87s,0,0.18,0.18,-4.61
88,0,1.11,1.11,-2.57
92o,0,-0.27,-0.61,-8.81
92s,0,-0.11,-0.33,-7.07
93o,0,-0.27,-0.58,-8.64
93s,0,-0.11,-0.3,-6.91
94o,0,-0.29,-0.6,-8.71
94s,0,-0.13,-0.32,-6.98
95o,0,-0.23,-0.52,-8.16
95s,0,-0.06,-0.23,-6.46
96o,0,-0.14,-0.42,-7.29
96s,0,0.04,-0.13,-5.64
97o,0,-0.05,-0.33,-6.93
97s,0,0.14,0.09,-5.29
98o,0,-0.02,-0.3,-6.9
98s,0,0.18,0.18,-5.23
99,0,1.3,1.29,-2.81
A2o,0,-0.15,-0.16,-4.76
A2s,0,0.23,0.23,-3.2
A3o,0,-0.12,-0.13,-4.6
A3s,0,0.27,0.27,-3.05
A4o,0,-0.11,-0.12,-4.48
A4s,0,0.29,0.29,-2.94
A5o,0,-0.07,-0.11,-4.42
A5s,0,0.33,0.34,-2.86
A6o,0,-0.18,-0.21,-4.74
A6s,0,0.21,0.2,-3.21
A7o,0,-0.16,-0.17,-4.59
A7s,0,0.24,0.24,-3.04
A8o,0,-0.14,-0.17,-4.75
A8s,0,0.25,0.24,-3.14
A9o,0,-0.1,-0.17,-4.97
A9s,0,0.29,0.23,-3.36
AA,0,6.39,19.03,17.09
AJo,0,0.27,0.27,-3.25
AJs,0,0.7,0.7,-1.83
AKo,0,1.1,2.74,1.23
AKs,0,1.46,3.96,2.35
AQo,0,0.71,0.71,-2.21
AQs,0,1.13,1.46,-0.82
ATo,0,0,-0.03,-4.88
ATs,0,0.41,0.41,-3.25
J2o,0,-0.28,-0.41,-7.15
J2s,0,-0.09,-0.12,-5.55
J3o,0,-0.27,-0.39,-7.02
J3s,0,-0.07,-0.1,-5.45
J4o,0,-0.27,-0.38,-6.93
J4s,0,-0.07,-0.09,-5.36
J5o,0,-0.26,-0.37,-6.89
J5s,0,-0.06,-0.08,-5.31
J6o,0,-0.25,-0.35,-6.66
J6s,0,-0.04,-0.08,-5.11
J7o,0,-0.21,-0.28,-6.21
J7s,0,0,0,-4.68
J8o,0,-0.16,-0.23,-5.93
J8s,0,0.05,0.05,-4.4
J9o,0,-0.08,-0.16,-5.72
J9s,0,0.15,0.15,-4.16
JJ,0,2.74,3.01,1.26
JTo,0,0,-0.03,-5.5
JTs,0,0.27,0.27,-3.94
K2o,0,-0.22,-0.29,-5.92
K2s,0,0.02,0.01,-4.35
K3o,0,-0.21,-0.27,-5.76
K3s,0,0.03,0.03,-4.23
K4o,0,-0.2,-0.27,-5.67
K4s,0,0.04,0.04,-4.11
K5o,0,-0.18,-0.25,-5.59
K5s,0,0.06,0.06,-4.02
K6o,0,-0.16,-0.22,-5.27
K6s,0,0.09,0.09,-3.74
K7o,0,-0.17,-0.23,-5.26
K7s,0,0.08,0.08,-3.69
K8o,0,-0.17,-0.25,-5.47
K8s,0,0.07,0.07,-3.88
K9o,0,-0.12,-0.2,-5.42
K9s,0,0.14,0.13,-3.81
KJo,0,0.13,0.13,-3.55
KJs,0,0.43,0.43,-2.17
KK,0,4.91,13.29,11.75
KQo,0,0.32,0.32,-2.56
KQs,0,0.59,0.59,-1.19
KTo,0,0,-0.04,-5.16
KTs,0,0.28,0.28,-3.55
Q2o,0,-0.22,-0.38,-6.44
Q2s,0,-0.02,-0.08,-4.8
Q3o,0,-0.21,-0.35,-6.3
Q3s,0,0,-0.06,-4.68
Q4o,0,-0.21,-0.34,-6.2
Q4s,0,0,-0.04,-4.58
Q5o,0,-0.21,-0.33,-6.13
Q5s,0,0,-0.03,-4.54
Q6o,0,-0.21,-0.32,-5.82
Q6s,0,0,-0.02,-4.25
Q7o,0,-0.21,-0.32,-5.91
Q7s,0,0,-0.03,-4.3
Q8o,0,-0.2,-0.31,-5.65
Q8s,0,0.01,0.01,-4.04
Q9o,0,-0.15,-0.25,-5.46
Q9s,0,0.08,0.07,-3.83
QJo,0,0.01,0.01,-3.61
QJs,0,0.28,0.34,-2.22
QQ,0,3.86,8.06,7.33
QTo,0,0,-0.1,-5.27
QTs,0,0.25,0.23,-3.63
T2o,0,-0.31,-0.59,-9.15
T2s,0,-0.14,-0.3,-7.38
T3o,0,-0.3,-0.56,-8.99
T3s,0,-0.13,-0.27,-7.24
T4o,0,-0.31,-0.56,-8.89
T4s,0,-0.13,-0.27,-7.14
T5o,0,-0.31,-0.58,-9
T5s,0,-0.12,-0.29,-7.24
T6o,0,-0.26,-0.48,-8.14
T6s,0,-0.07,-0.19,-6.43
T7o,0,-0.18,-0.39,-7.75
