Hand,Fold,Raise24.1,Allin100
22,0,-0.75,-6.08
32o,0,-2.59,-10.47
32s,0,-1.5,-7.69
33,0,-0.66,-5.7
42o,0,-2.53,-10.25
42s,0,-1.33,-7.46
43o,0,-2.1,-8.9
43s,0,-0.93,-6.15
44,0,-0.57,-5.31
52o,0,-2.56,-9.95
52s,0,-1.3,-7.14
53o,0,-2.02,-8.61
53s,0,-0.96,-6.16
54o,0,-1.62,-7.34
54s,0,-0.48,-4.74
55,0,-0.76,-5.34
62o,0,-2.92,-10.64
62s,0,-1.69,-7.76
63o,0,-2.41,-9.18
63s,0,-1.21,-6.6
64o,0,-1.96,-8.02
64s,0,-0.81,-5.54
65o,0,-1.6,-6.76
65s,0,-0.38,-4.15
66,0,-0.21,-4.39
72o,0,-3.56,-11.96
72s,0,-2.37,-9.23
73o,0,-3.06,-10.62
73s,0,-1.85,-7.78
74o,0,-2.6,-9.36
74s,0,-1.27,-6.68
75o,0,-2.21,-8.19
75s,0,-0.92,-5.51
76o,0,-1.82,-6.95
76s,0,-0.66,-4.34
77,0,-0.2,-4.2
82o,0,-3.24,-11.78
82s,0,-2.07,-8.97
83o,0,-3.37,-11.83
83s,0,-2.07,-9.01
84o,0,-2.96,-10.56
84s,0,-1.71,-7.75
85o,0,-2.52,-9.45
85s,0,-1.34,-6.82
86o,0,-2.11,-8.23
86s,0,-0.98,-5.56
87o,0,-1.8,-7.55
87s,0,-0.58,-4.88
88,0,-0.1,-4.3
92o,0,-3.27,-12.26
92s,0,-2.01,-9.3
93o,0,-3.24,-11.99
93s,0,-1.98,-9.04
94o,0,-3.41,-12.07
94s,0,-2.13,-9.04
95o,0,-3.1,-10.88
95s,0,-1.85,-8.02
96o,0,-2.51,-9.66
96s,0,-1.32,-6.82
97o,0,-2.16,-8.84
97s,0,-0.96,-6.14
98o,0,-2.12,-8.84
98s,0,-0.91,-6.02
99,0,-0.22,-4.79
A2o,0,-1.67,-5.87
A2s,0,-0.43,-3.03
A3o,0,-1.63,-5.63
A3s,0,-0.27,-2.68
A4o,0,-1.65,-5.32
A4s,0,-0.36,-2.47
A5o,0,-1.6,-5.21
A5s,0,-0.34,-2.3
A6o,0,-2.09,-6.21
A6s,0,-0.74,-3.3
A7o,0,-2,-6.1
A7s,0,-0.56,-3.03
A8o,0,-2.08,-6.27
A8s,0,-0.64,-3.36
A9o,0,-2.35,-6.79
A9s,0,-0.96,-3.71
AA,0,37.63,35.22
AJo,0,-3.48,-7.65
AJs,0,-1.7,-4.51
AKo,0,2.24,2.26
AKs,0,4.54,4.6
AQo,0,-1.44,-3.16
AQs,0,-0.01,-0.27
ATo,0,-2.48,-6.65
ATs,0,-0.86,-3.35
J2o,0,-4.3,-14.03
J2s,0,-2.92,-10.85
J3o,0,-4.28,-13.73
J3s,0,-2.95,-10.74
J4o,0,-4.28,-13.43
J4s,0,-2.94,-10.37
J5o,0,-4.3,-13.35
J5s,0,-2.99,-10.46
J6o,0,-4.18,-13.33
J6s,0,-2.84,-10.19
J7o,0,-3.91,-12.52
J7s,0,-2.5,-9.47
J8o,0,-3.77,-12.04
J8s,0,-2.49,-8.98
J9o,0,-3.65,-12.01
J9s,0,-2.34,-9.04
JJ,0,-1.06,-5.78
JTo,0,-3.93,-12.09
JTs,0,-2.47,-8.97
K2o,0,-2.04,-7.75
K2s,0,-0.81,-5.01
K3o,0,-2.01,-7.57
K3s,0,-0.77,-4.72
K4o,0,-2.1,-7.27
K4s,0,-0.65,-4.34
K5o,0,-2.06,-6.99
K5s,0,-0.73,-4.21
K6o,0,-1.68,-6.7
K6s,0,-0.34,-3.86
K7o,0,-1.7,-6.83
K7s,0,-0.49,-4.09
K8o,0,-1.72,-7.14
K8s,0,-0.48,-4.3
K9o,0,-1.87,-7.14
K9s,0,-0.47,-4.18
KJo,0,-2.8,-7.83
KJs,0,-1.3,-4.82
KK,0,21.84,22.02
KQo,0,-1.02,-3.48
KQs,0,0.28,-0.93
KTo,0,-1.84,-6.77
KTs,0,-0.41,-3.83
Q2o,0,-2.58,-9.76
Q2s,0,-1.57,-6.87
Q3o,0,-2.71,-9.49
Q3s,0,-1.49,-6.65
Q4o,0,-2.72,-9.26
Q4s,0,-1.55,-6.43
Q5o,0,-2.61,-9.02
Q5s,0,-1.48,-6.38
Q6o,0,-2.38,-8.7
Q6s,0,-1.24,-5.99
Q7o,0,-2.5,-9.05
Q7s,0,-1.36,-6.33
Q8o,0,-2.34,-8.36
Q8s,0,-1.13,-5.67
Q9o,0,-2.28,-8.26
Q9s,0,-1.06,-5.63
QJo,0,-3.08,-8.91
QJs,0,-1.74,-5.83
QQ,0,4.95,4.76
QTo,0,-2.21,-7.98
QTs,0,-1.09,-5.12
T2o,0,-3.47,-12.65
T2s,0,-2.22,-9.62
T3o,0,-3.48,-12.28
T3s,0,-2.26,-9.56
T4o,0,-3.51,-12.04
T4s,0,-2.23,-9.19
T5o,0,-3.65,-12.2
T5s,0,-2.35,-9.17
T6o,0,-3.09,-10.89
T6s,0,-1.87,-8.16
T7o,0,-2.75,-10.12
T7s,0,-1.44,-7.1
T8o,0,-2.62,-9.78
T8s,0,-1.4,-6.99
T9o,0,-2.59,-9.75
T9s,0,-1.4,-7.02
TT,0,-0.21,-4.94
