Hand,Fold,Call,Raise22.9,Allin100
22,0,100,0,0
33,0,100,0,0
44,0,100,0,0
54s,0,100,0,0
55,0,100,0,0
65s,0,100,0,0
66,0,98.5,1.5,0
76s,0,100,0,0
77,0,99.5,0.5,0
87s,0,100,0,0
88,0,98,2,0
97s,0,100,0,0
98s,34.4,65.6,0,0
99,0,93,7,0
A2s,93,7,0,0
A3s,65.2,33.3,1.5,0
A4s,23,77,0,0
A5s,18,63,19,0
A6s,100,0,0,0
A7s,100,0,0,0
A8s,100,0,0,0
A9o,100,0,0,0
A9s,100,0,0,0
AA,0,0,100,0
AJo,100,0,0,0
AJs,100,0,0,0
AKo,0,0,3,97
AKs,0,0,19.5,80.5
AQo,100,0,0,0
AQs,0,8,54,38
ATo,100,0,0,0
ATs,100,0,0,0
J8s,100,0,0,0
J9s,100,0,0,0
JJ,0,100,0,0
JTo,100,0,0,0
JTs,45.5,54.5,0,0
K5s,100,0,0,0
K6s,77,11.5,11.5,0
K7s,100,0,0,0
K8s,100,0,0,0
K9s,100,0,0,0
KJo,100,0,0,0
KJs,85.5,14.5,0,0
KK,0,0,0,100
KQo,100,0,0,0
KQs,0,0,100,0
KTo,100,0,0,0
KTs,59,30,11,0
Q8s,100,0,0,0
Q9s,100,0,0,0
QJo,100,0,0,0
QJs,84,16,0,0
QQ,0,7.5,78.5,14
QTo,100,0,0,0
QTs,58.5,29.5,12,0
T8s,35.6,64.4,0,0
T9s,45.5,54.5,0,0
TT,0,83,17,0
