Hand,Fold,Raise2.2,Allin50
22,0,-0.03,-0.87
32o,0,-0.19,-1.8
32s,0,-0.14,-1.36
33,0,0,-0.81
42o,0,-0.17,-1.74
42s,0,-0.12,-1.31
43o,0,-0.14,-1.57
43s,0,-0.09,-1.14
44,0,0,-0.73
52o,0,-0.17,-1.7
52s,0,-0.11,-1.27
53o,0,-0.13,-1.52
53s,0,-0.07,-1.1
54o,0,-0.1,-1.34
54s,0,0,-0.94
55,0,0.01,-0.66
62o,0,-0.18,-1.85
62s,0,-0.13,-1.41
63o,0,-0.15,-1.67
63s,0,-0.09,-1.24
64o,0,-0.11,-1.49
64s,0,-0.05,-1.07
65o,0,-0.09,-1.32
65s,0,0,-0.92
66,0,0.05,-0.63
72o,0,-0.21,-2
72s,0,-0.15,-1.54
73o,0,-0.17,-1.82
73s,0,-0.11,-1.38
74o,0,-0.13,-1.64
74s,0,-0.08,-1.21
75o,0,-0.1,-1.46
75s,0,-0.05,-1.04
76o,0,-0.08,-1.33
76s,0,0,-0.93
77,0,0.08,-0.61
82o,0,-0.19,-1.96
82s,0,-0.13,-1.52
83o,0,-0.18,-1.96
83s,0,-0.12,-1.51
84o,0,-0.14,-1.77
84s,0,-0.08,-1.34
85o,0,-0.11,-1.6
85s,0,-0.05,-1.18
86o,0,-0.07,-1.47
86s,0,-0.01,-1.05
87o,0,-0.06,-1.36
87s,0,0,-0.95
88,0,0.2,-0.6
92o,0,-0.17,-1.86
92s,0,-0.11,-1.43
93o,0,-0.15,-1.82
93s,0,-0.09,-1.39
94o,0,-0.14,-1.81
94s,0,-0.08,-1.38
95o,0,-0.11,-1.63
95s,0,-0.05,-1.22
96o,0,-0.08,-1.5
96s,0,-0.02,-1.08
97o,0,-0.06,-1.38
97s,0,0,-0.98
98o,0,-0.04,-1.32
98s,0,0.02,-0.92
99,0,0.59,-0.37
A2o,0,-0.04,-0.74
A2s,0,0.07,-0.37
A3o,0,-0.02,-0.7
A3s,0,0.08,-0.33
A4o,0,-0.01,-0.66
A4s,0,0.1,-0.29
A5o,0,0,-0.62
A5s,0,0.12,-0.26
A6o,0,0,-0.74
A6s,0,0.1,-0.37
A7o,0,0,-0.72
A7s,0,0.1,-0.35
A8o,0,0.01,-0.72
A8s,0,0.12,-0.35
A9o,0,0.05,-0.66
A9s,0,0.17,-0.3
AA,0,6.67,3.92
AJo,0,0.19,-0.26
AJs,0,0.6,0.06
AKo,0,1.87,0.82
AKs,0,2.28,1.05
AQo,0,0.58,0.06
AQs,0,1.02,0.36
ATo,0,0.14,-0.46
ATs,0,0.38,-0.12
J2o,0,-0.13,-1.65
J2s,0,-0.06,-1.23
J3o,0,-0.11,-1.61
J3s,0,-0.04,-1.19
J4o,0,-0.1,-1.56
J4s,0,-0.03,-1.15
J5o,0,-0.09,-1.52
J5s,0,-0.02,-1.1
J6o,0,-0.08,-1.54
J6s,0,-0.01,-1.12
J7o,0,-0.07,-1.42
J7s,0,0,-1.01
J8o,0,-0.04,-1.31
J8s,0,0.03,-0.9
J9o,0,0,-1.14
J9s,0,0.07,-0.75
JJ,0,2.2,0.57
JTo,0,0.04,-0.95
JTs,0,0.13,-0.57
K2o,0,-0.1,-1.2
K2s,0,-0.01,-0.8
K3o,0,-0.09,-1.16
K3s,0,0,-0.77
K4o,0,-0.07,-1.11
K4s,0,0.01,-0.72
K5o,0,-0.06,-1.07
K5s,0,0.03,-0.68
K6o,0,-0.04,-1.05
K6s,0,0.04,-0.67
K7o,0,-0.04,-1.05
K7s,0,0.04,-0.67
K8o,0,-0.03,-1.07
K8s,0,0.05,-0.69
K9o,0,0,-0.93
K9s,0,0.08,-0.56
KJo,0,0.09,-0.6
KJs,0,0.37,-0.26
KK,0,4.89,2.54
KQo,0,0.14,-0.36
KQs,0,0.49,-0.04
KTo,0,0.06,-0.72
KTs,0,0.24,-0.37
Q2o,0,-0.11,-1.41
Q2s,0,-0.04,-0.99
Q3o,0,-0.1,-1.37
Q3s,0,-0.02,-0.96
Q4o,0,-0.08,-1.32
Q4s,0,-0.01,-0.92
Q5o,0,-0.07,-1.28
Q5s,0,0,-0.88
Q6o,0,-0.06,-1.26
Q6s,0,0.01,-0.86
Q7o,0,-0.06,-1.29
Q7s,0,0.01,-0.88
Q8o,0,-0.04,-1.17
Q8s,0,0.03,-0.78
Q9o,0,0,-1
Q9s,0,0.07,-0.62
QJo,0,0.07,-0.69
QJs,0,0.23,-0.33
QQ,0,3.33,1.42
QTo,0,0.05,-0.81
QTs,0,0.14,-0.44
T2o,0,-0.15,-1.79
T2s,0,-0.08,-1.36
T3o,0,-0.13,-1.75
T3s,0,-0.06,-1.32
T4o,0,-0.12,-1.7
T4s,0,-0.05,-1.28
T5o,0,-0.11,-1.69
T5s,0,-0.04,-1.26
T6o,0,-0.08,-1.55
T6s,0,-0.02,-1.14
T7o,0,-0.07,-1.44
T7s,0,0,-1.03
T8o,0,-0.03,-1.32
T8s,0,0.03,-0.92
T9o,0,0,-1.16
T9s,0,0.07,-0.77
TT,0,1.34,0.06
