Hand,Fold,Call,Raise3,Allin50
22,0,0.06,0.06,-0.16
32o,0,-0.17,-0.27,-1.19
32s,0,-0.08,-0.12,-0.84
33,0,0.1,0.1,-0.12
42o,0,-0.14,-0.24,-1.12
42s,0,-0.05,-0.09,-0.78
43o,0,-0.1,-0.18,-1
43s,0,-0.02,-0.03,-0.66
44,0,0.22,0.22,-0.01
52o,0,-0.13,-0.22,-1.04
52s,0,-0.04,-0.07,-0.7
53o,0,-0.09,-0.15,-0.91
53s,0,0,0,-0.59
54o,0,-0.04,-0.1,-0.76
54s,0,0.05,0.05,-0.45
55,0,0.35,0.36,0.18
62o,0,-0.16,-0.27,-1.17
62s,0,-0.06,-0.11,-0.82
63o,0,-0.11,-0.2,-1.04
63s,0,-0.02,-0.04,-0.7
64o,0,-0.07,-0.13,-0.89
64s,0,0.02,0.02,-0.56
65o,0,-0.02,-0.08,-0.73
65s,0,0.08,0.08,-0.41
66,0,0.47,0.47,0.28
72o,0,-0.18,-0.29,-1.25
72s,0,-0.08,-0.13,-0.9
73o,0,-0.14,-0.23,-1.12
73s,0,-0.04,-0.07,-0.78
74o,0,-0.09,-0.16,-0.97
74s,0,0,0,-0.65
75o,0,-0.04,-0.1,-0.81
75s,0,0.06,0.06,-0.49
76o,0,0,-0.03,-0.71
76s,0,0.13,0.13,-0.39
77,0,0.64,0.64,0.31
82o,0,-0.17,-0.26,-1.12
82s,0,-0.07,-0.1,-0.77
83o,0,-0.16,-0.25,-1.11
83s,0,-0.06,-0.09,-0.77
84o,0,-0.12,-0.19,-0.96
84s,0,-0.02,-0.03,-0.64
85o,0,-0.07,-0.13,-0.8
85s,0,0.03,0.03,-0.49
86o,0,-0.02,-0.05,-0.69
86s,0,0.11,0.11,-0.38
87o,0,0,0,-0.6
87s,0,0.16,0.16,-0.29
88,0,0.97,0.97,0.52
92o,0,-0.15,-0.25,-1.03
92s,0,-0.05,-0.08,-0.7
93o,0,-0.14,-0.23,-1
93s,0,-0.04,-0.06,-0.67
94o,0,-0.12,-0.22,-0.97
94s,0,-0.03,-0.05,-0.64
95o,0,-0.1,-0.16,-0.81
95s,0,0,0,-0.49
96o,0,-0.04,-0.09,-0.7
96s,0,0.07,0.07,-0.38
97o,0,0,-0.02,-0.6
97s,0,0.14,0.15,-0.29
98o,0,0,0,-0.46
98s,0,0.17,0.17,-0.17
99,0,1.49,1.49,0.85
A2o,0,0,-0.01,-0.36
A2s,0,0.25,0.25,-0.07
A3o,0,0.01,0.01,-0.33
A3s,0,0.29,0.29,-0.05
A4o,0,0.04,0.04,-0.28
A4s,0,0.35,0.35,0
A5o,0,0.08,0.08,-0.2
A5s,0,0.41,0.41,0.07
A6o,0,0.08,0.08,-0.29
A6s,0,0.36,0.36,-0.01
A7o,0,0.12,0.12,-0.26
A7s,0,0.45,0.45,0.01
A8o,0,0.19,0.19,-0.2
A8s,0,0.55,0.57,0.07
A9o,0,0.27,0.27,-0.13
A9s,0,0.65,0.69,0.13
AA,0,5.47,5.47,3.39
AJo,0,0.78,0.78,0.38
AJs,0,1.24,1.25,0.6
AKo,0,2.03,2.03,1.56
AKs,0,2.41,2.41,1.7
AQo,0,1.37,1.37,0.95
AQs,0,1.77,1.77,1.14
ATo,0,0.52,0.52,0.05
ATs,0,0.95,0.98,0.3
J2o,0,-0.11,-0.19,-0.87
J2s,0,0,-0.01,-0.55
J3o,0,-0.11,-0.17,-0.84
J3s,0,0.01,0.01,-0.52
J4o,0,-0.08,-0.15,-0.78
J4s,0,0.03,0.03,-0.47
J5o,0,-0.06,-0.12,-0.72
J5s,0,0.05,0.05,-0.41
J6o,0,-0.04,-0.1,-0.72
J6s,0,0.07,0.07,-0.41
J7o,0,-0.01,-0.04,-0.62
J7s,0,0.14,0.14,-0.32
J8o,0,0,0,-0.45
J8s,0,0.19,0.19,-0.16
J9o,0,0.07,0.07,-0.3
J9s,0,0.34,0.34,-0.02
JJ,0,2.7,2.7,1.66
JTo,0,0.2,0.2,-0.09
JTs,0,0.55,0.58,0.18
K2o,0,-0.06,-0.12,-0.59
K2s,0,0.1,0.1,-0.27
K3o,0,-0.04,-0.1,-0.56
K3s,0,0.12,0.12,-0.25
K4o,0,-0.03,-0.07,-0.5
K4s,0,0.15,0.15,-0.2
K5o,0,-0.01,-0.04,-0.43
K5s,0,0.18,0.18,-0.13
K6o,0,0,-0.01,-0.41
K6s,0,0.21,0.21,-0.11
K7o,0,0,0,-0.4
K7s,0,0.22,0.22,-0.1
K8o,0,0.02,0.02,-0.35
K8s,0,0.27,0.27,-0.06
K9o,0,0.1,0.1,-0.2
K9s,0,0.44,0.44,0.08
KJo,0,0.37,0.37,0.04
KJs,0,0.76,0.8,0.29
KK,0,4.33,4.33,2.73
KQo,0,0.59,0.59,0.17
KQs,0,0.99,1.02,0.41
KTo,0,0.25,0.25,0.02
KTs,0,0.66,0.7,0.28
Q2o,0,-0.08,-0.15,-0.75
Q2s,0,0.04,0.04,-0.43
Q3o,0,-0.07,-0.14,-0.72
Q3s,0,0.06,0.06,-0.41
Q4o,0,-0.04,-0.11,-0.67
Q4s,0,0.09,0.09,-0.36
Q5o,0,-0.03,-0.08,-0.6
Q5s,0,0.11,0.11,-0.29
Q6o,0,-0.01,-0.05,-0.58
Q6s,0,0.14,0.14,-0.27
Q7o,0,-0.01,-0.04,-0.59
Q7s,0,0.15,0.15,-0.28
Q8o,0,0,0,-0.43
Q8s,0,0.2,0.2,-0.14
Q9o,0,0.07,0.07,-0.28
Q9s,0,0.37,0.37,0.01
QJo,0,0.3,0.3,-0.05
QJs,0,0.66,0.68,0.2
QQ,0,3.44,3.44,2.18
QTo,0,0.21,0.21,-0.06
QTs,0,0.58,0.6,0.21
T2o,0,-0.13,-0.22,-0.93
T2s,0,-0.02,-0.04,-0.6
T3o,0,-0.12,-0.2,-0.9
T3s,0,-0.01,-0.03,-0.57
T4o,0,-0.1,-0.18,-0.84
T4s,0,0,-0.01,-0.53
T5o,0,-0.1,-0.16,-0.8
T5s,0,0,0.01,-0.48
T6o,0,-0.04,-0.1,-0.69
T6s,0,0.07,0.07,-0.38
T7o,0,-0.01,-0.04,-0.59
T7s,0,0.14,0.14,-0.28
T8o,0,0,0,-0.42
T8s,0,0.18,0.18,-0.13
T9o,0,0.07,0.07,-0.26
T9s,0,0.34,0.34,0.02
TT,0,2.11,2.11,1.27
