Hand,Fold,Call,Raise8.5,Allin50
22,0,-0.02,-0.21,-0.97
32o,0,-0.75,-0.45,-3.47
32s,0,-0.48,-0.32,-2.55
33,0,0,-0.24,-0.92
42o,0,-0.7,-0.39,-3.39
42s,0,-0.42,-0.27,-2.48
43o,0,-0.59,-0.38,-3.1
43s,0,-0.3,-0.25,-2.21
44,0,0,-0.15,-0.82
52o,0,-0.66,-0.35,-3.31
52s,0,-0.38,-0.21,-2.41
53o,0,-0.52,-0.32,-3.02
53s,0,-0.23,-0.19,-2.13
54o,0,-0.41,-0.24,-2.7
54s,0,-0.11,-0.11,-1.83
55,0,0,-0.03,-0.73
62o,0,-0.78,-0.41,-3.65
62s,0,-0.49,-0.27,-2.72
63o,0,-0.62,-0.37,-3.36
63s,0,-0.33,-0.24,-2.45
64o,0,-0.48,-0.29,-3.03
64s,0,-0.18,-0.16,-2.14
65o,0,-0.37,-0.2,-2.72
65s,0,-0.07,-0.07,-1.84
66,0,0,-0.01,-0.67
72o,0,-0.86,-0.44,-3.73
72s,0,-0.57,-0.31,-2.8
73o,0,-0.73,-0.41,-3.44
73s,0,-0.44,-0.28,-2.52
74o,0,-0.6,-0.32,-3.1
74s,0,-0.3,-0.19,-2.22
75o,0,-0.45,-0.23,-2.79
75s,0,-0.15,-0.1,-1.91
76o,0,-0.35,-0.2,-2.54
76s,0,-0.04,-0.07,-1.68
77,0,0.06,0.06,-0.16
82o,0,-0.8,-0.41,-3.48
82s,0,-0.51,-0.27,-2.56
83o,0,-0.78,-0.44,-3.53
83s,0,-0.49,-0.3,-2.61
84o,0,-0.67,-0.35,-3.19
84s,0,-0.37,-0.21,-2.29
85o,0,-0.53,-0.26,-2.87
85s,0,-0.23,-0.12,-1.99
86o,0,-0.38,-0.22,-2.61
86s,0,-0.07,-0.08,-1.74
87o,0,-0.31,-0.18,-2.23
87s,0,0,-0.04,-1.39
88,0,0.84,0.85,0.69
92o,0,-0.81,-0.43,-3.34
92s,0,-0.52,-0.29,-2.42
93o,0,-0.78,-0.45,-3.31
93s,0,-0.48,-0.31,-2.39
94o,0,-0.76,-0.41,-3.31
94s,0,-0.47,-0.27,-2.39
95o,0,-0.65,-0.32,-2.98
95s,0,-0.35,-0.18,-2.08
96o,0,-0.5,-0.28,-2.71
96s,0,-0.19,-0.14,-1.83
97o,0,-0.37,-0.23,-2.33
97s,0,-0.06,-0.08,-1.47
98o,0,-0.29,-0.18,-1.99
98s,0,0,-0.04,-1.15
99,0,1.69,1.96,1.59
A2o,0,-0.51,-0.18,-1.71
A2s,0,-0.1,0,-0.89
A3o,0,-0.43,-0.18,-1.67
A3s,0,-0.02,-0.01,-0.86
A4o,0,-0.37,-0.13,-1.59
A4s,0,0.04,0.04,-0.78
A5o,0,-0.32,-0.06,-1.52
A5s,0,0.1,0.1,-0.72
A6o,0,-0.38,-0.11,-1.81
A6s,0,0.03,0.06,-0.99
A7o,0,-0.31,-0.07,-1.6
A7s,0,0.09,0.1,-0.8
A8o,0,-0.26,-0.04,-1.45
A8s,0,0.13,0.13,-0.65
A9o,0,-0.22,0,-1.32
A9s,0,0.15,0.15,-0.53
AA,0,10.05,12.39,9.5
AJo,0,0.24,0.26,-0.17
AJs,0,0.82,0.82,0.52
AKo,0,2.3,3.49,3.26
AKs,0,2.89,4.18,3.73
AQo,0,1.36,1.44,1.31
AQs,0,1.92,2.26,1.9
ATo,0,-0.08,0.11,-0.84
ATs,0,0.28,0.28,-0.09
J2o,0,-0.8,-0.34,-2.87
J2s,0,-0.49,-0.19,-1.98
J3o,0,-0.76,-0.36,-2.84
J3s,0,-0.45,-0.21,-1.95
J4o,0,-0.71,-0.3,-2.76
J4s,0,-0.4,-0.15,-1.87
J5o,0,-0.67,-0.26,-2.68
J5s,0,-0.36,-0.1,-1.79
J6o,0,-0.64,-0.27,-2.73
J6s,0,-0.33,-0.12,-1.84
J7o,0,-0.54,-0.23,-2.34
J7s,0,-0.24,-0.07,-1.48
J8o,0,-0.4,-0.16,-1.93
J8s,0,-0.1,-0.01,-1.1
J9o,0,-0.3,-0.15,-1.56
J9s,0,0,0,-0.75
JJ,0,3.88,5.01,3.95
JTo,0,-0.18,-0.04,-0.97
JTs,0,0.1,0.1,-0.2
K2o,0,-0.63,-0.25,-2.2
K2s,0,-0.27,-0.08,-1.33
K3o,0,-0.59,-0.27,-2.17
K3s,0,-0.22,-0.1,-1.3
K4o,0,-0.54,-0.22,-2.09
K4s,0,-0.17,-0.05,-1.23
K5o,0,-0.48,-0.16,-2.01
K5s,0,-0.12,0,-1.16
K6o,0,-0.43,-0.16,-2
K6s,0,-0.08,0,-1.14
K7o,0,-0.42,-0.16,-1.85
