Hand,Fold,Call,Raise10,Allin50
22,0,0.2,-0.21,-1.25
32o,0,-0.55,-0.47,-4.22
32s,0,-0.3,-0.32,-3.07
33,0,0.15,-0.19,-1.07
42o,0,-0.52,-0.46,-4.12
42s,0,-0.26,-0.31,-2.97
43o,0,-0.42,-0.4,-3.64
43s,0,-0.14,-0.24,-2.5
44,0,0.09,-0.18,-0.93
52o,0,-0.51,-0.46,-4.05
52s,0,-0.22,-0.3,-2.9
53o,0,-0.37,-0.38,-3.56
53s,0,-0.07,-0.23,-2.44
54o,0,-0.32,-0.34,-3.1
54s,0,0,-0.18,-2
55,0,0.06,-0.19,-0.86
62o,0,-0.61,-0.46,-4.52
62s,0,-0.33,-0.29,-3.31
63o,0,-0.47,-0.38,-4.01
63s,0,-0.19,-0.21,-2.85
64o,0,-0.36,-0.32,-3.54
64s,0,-0.05,-0.16,-2.43
65o,0,-0.32,-0.28,-3.16
65s,0,0,-0.11,-2.06
66,0,0.1,-0.04,-0.79
72o,0,-0.71,-0.55,-5.03
72s,0,-0.44,-0.38,-3.79
73o,0,-0.6,-0.47,-4.51
73s,0,-0.3,-0.3,-3.33
74o,0,-0.49,-0.41,-4.05
74s,0,-0.18,-0.25,-2.9
75o,0,-0.39,-0.36,-3.65
75s,0,-0.07,-0.2,-2.5
76o,0,-0.33,-0.26,-3.38
76s,0,0,-0.1,-2.26
77,0,0.12,0.04,-0.81
82o,0,-0.68,-0.55,-4.99
82s,0,-0.4,-0.38,-3.76
83o,0,-0.67,-0.55,-4.97
83s,0,-0.39,-0.38,-3.74
84o,0,-0.61,-0.49,-4.5
84s,0,-0.32,-0.33,-3.31
85o,0,-0.5,-0.44,-4.11
85s,0,-0.19,-0.27,-2.94
86o,0,-0.37,-0.33,-3.81
86s,0,-0.04,-0.16,-2.64
87o,0,-0.35,-0.32,-3.64
87s,0,-0.01,-0.16,-2.49
88,0,0.16,0.14,-0.77
92o,0,-0.67,-0.47,-4.6
92s,0,-0.36,-0.31,-3.39
93o,0,-0.64,-0.45,-4.47
93s,0,-0.34,-0.29,-3.27
94o,0,-0.65,-0.47,-4.48
94s,0,-0.35,-0.3,-3.28
95o,0,-0.58,-0.42,-4.08
95s,0,-0.27,-0.25,-2.9
96o,0,-0.45,-0.3,-3.75
96s,0,-0.12,-0.13,-2.58
97o,0,-0.33,-0.27,-3.53
97s,0,0,-0.11,-2.39
98o,0,-0.35,-0.27,-3.43
98s,0,0,-0.1,-2.28
99,0,0.83,0.84,0.39
A2o,0,-0.64,-0.26,-2.52
A2s,0,-0.05,-0.03,-1.41
A3o,0,-0.59,-0.23,-2.39
A3s,0,0,-0.01,-1.27
A4o,0,-0.58,-0.23,-2.3
A4s,0,0,0,-1.19
A5o,0,-0.59,-0.22,-2.23
A5s,0,0,0,-1.12
A6o,0,-0.66,-0.23,-2.73
A6s,0,-0.06,0,-1.57
A7o,0,-0.66,-0.24,-2.7
A7s,0,-0.04,-0.01,-1.53
A8o,0,-0.62,-0.27,-2.77
A8s,0,0,-0.03,-1.62
A9o,0,-0.54,-0.17,-2.46
A9s,0,0.06,0.06,-1.35
AA,0,10.18,15.12,12.97
AJo,0,-0.15,0,-1.49
AJs,0,0.38,0.22,-0.4
AKo,0,1.48,3.43,3.36
AKs,0,2.17,4.32,4.09
AQo,0,0.43,0.44,0.3
AQs,0,1.16,1.45,1.23
ATo,0,-0.35,-0.01,-1.78
ATs,0,0.21,0.21,-0.68
J2o,0,-0.76,-0.49,-4.05
J2s,0,-0.42,-0.31,-2.84
J3o,0,-0.74,-0.47,-3.92
J3s,0,-0.39,-0.28,-2.7
J4o,0,-0.73,-0.47,-3.83
J4s,0,-0.37,-0.28,-2.62
J5o,0,-0.72,-0.46,-3.77
J5s,0,-0.36,-0.28,-2.59
J6o,0,-0.69,-0.4,-3.84
J6s,0,-0.32,-0.22,-2.64
J7o,0,-0.65,-0.38,-3.62
J7s,0,-0.27,-0.21,-2.42
J8o,0,-0.57,-0.37,-3.4
J8s,0,-0.18,-0.2,-2.21
J9o,0,-0.45,-0.26,-2.78
J9s,0,-0.04,-0.07,-1.62
JJ,0,3.32,5.1,4.78
JTo,0,-0.41,-0.19,-2
JTs,0,0,0,-0.9
K2o,0,-0.65,-0.33,-3.14
K2s,0,-0.22,-0.15,-1.98
K3o,0,-0.62,-0.31,-3
K3s,0,-0.19,-0.13,-1.85
K4o,0,-0.62,-0.31,-2.91
K4s,0,-0.17,-0.12,-1.78
K5o,0,-0.59,-0.3,-2.84
K5s,0,-0.15,-0.11,-1.69
K6o,0,-0.55,-0.22,-2.84
K6s,0,-0.1,-0.03,-1.68
K7o,0,-0.56,-0.26,-2.91
K7s,0,-0.11,-0.07,-1.74
K8o,0,-0.55,-0.3,-3.04
K8s,0,-0.1,-0.1,-1.84
K9o,0,-0.47,-0.2,-2.51
K9s,0,0,0,-1.36
KJo,0,-0.26,-0.06,-1.39
KJs,0,0.15,0.15,-0.32
KK,0,7.38,11.27,9.9
KQo,0,-0.08,0.05,-1.31
KQs,0,0.3,0.24,-0.26
KTo,0,-0.34,-0.06,-1.68
KTs,0,0.12,0.12,-0.59
Q2o,0,-0.7,-0.39,-3.73
Q2s,0,-0.34,-0.22,-2.54
Q3o,0,-0.67,-0.37,-3.6
Q3s,0,-0.31,-0.2,-2.44
Q4o,0,-0.67,-0.37,-3.51
Q4s,0,-0.29,-0.19,-2.35
Q5o,0,-0.67,-0.36,-3.44
Q5s,0,-0.28,-0.19,-2.29
Q6o,0,-0.63,-0.29,-3.43
Q6s,0,-0.25,-0.12,-2.28
Q7o,0,-0.65,-0.32,-3.57
Q7s,0,-0.26,-0.15,-2.4
Q8o,0,-0.63,-0.34,-3.36
Q8s,0,-0.24,-0.15,-2.17
Q9o,0,-0.51,-0.21,-2.84
Q9s,0,-0.1,-0.02,-1.67
QJo,0,-0.35,-0.18,-1.72
QJs,0,0.06,0.06,-0.65
QQ,0,4.96,7.75,6.9
QTo,0,-0.37,-0.14,-2.02
QTs,0,0.04,0.05,-0.93
T2o,0,-0.76,-0.46,-4.25
T2s,0,-0.43,-0.29,-3.04
T3o,0,-0.73,-0.44,-4.11
T3s,0,-0.39,-0.27,-2.93
T4o,0,-0.73,-0.44,-4.03
T4s,0,-0.38,-0.27,-2.85
T5o,0,-0.73,-0.45,-4.07
T5s,0,-0.38,-0.27,-2.89
T6o,0,-0.64,-0.33,-3.73
T6s,0,-0.27,-0.16,-2.56
T7o,0,-0.55,-0.31,-3.51
T7s,0,-0.17,-0.14,-2.36
T8o,0,-0.45,-0.31,-3.28
T8s,0,-0.06,-0.13,-2.12
T9o,0,-0.39,-0.18,-2.64
T9s,0,0,0,-1.53
TT,0,2.02,2.84,2.74
