Hand,Fold,Call,Raise10,Allin50
22,0,100,0,0
32o,100,0,0,0
32s,48.4,51.6,0,0
33,0,100,0,0
42o,100,0,0,0
42s,7.8,92.2,0,0
43o,100,0,0,0
43s,0,100,0,0
44,0,100,0,0
52o,100,0,0,0
52s,0,100,0,0
53o,100,0,0,0
53s,0,100,0,0
54o,81,19,0,0
54s,0,100,0,0
55,0,100,0,0
62o,100,0,0,0
62s,100,0,0,0
63o,100,0,0,0
63s,0,100,0,0
64o,100,0,0,0
64s,0,100,0,0
65o,86.4,13.6,0,0
65s,0,100,0,0
66,0,100,0,0
72o,100,0,0,0
72s,100,0,0,0
73o,100,0,0,0
73s,100,0,0,0
74o,100,0,0,0
74s,3.2,96.8,0,0
75o,100,0,0,0
75s,0,100,0,0
76o,100,0,0,0
76s,0,100,0,0
77,0,100,0,0
82o,100,0,0,0
82s,100,0,0,0
83o,100,0,0,0
83s,100,0,0,0
84o,100,0,0,0
84s,100,0,0,0
85o,100,0,0,0
85s,46.4,53.6,0,0
86o,100,0,0,0
86s,0,100,0,0
87o,100,0,0,0
87s,0,100,0,0
88,0,100,0,0
92o,100,0,0,0
92s,100,0,0,0
93o,100,0,0,0
93s,100,0,0,0
94o,100,0,0,0
94s,100,0,0,0
95o,100,0,0,0
95s,100,0,0,0
96o,100,0,0,0
96s,0,91.6,8.4,0
97o,100,0,0,0
97s,0,100,0,0
98o,100,0,0,0
98s,0,100,0,0
99,0,42.2,57.8,0
A2o,100,0,0,0
A2s,0,100,0,0
A3o,100,0,0,0
A3s,0,100,0,0
A4o,100,0,0,0
A4s,0,100,0,0
A5o,100,0,0,0
A5s,0,83.8,16.2,0
A6o,100,0,0,0
A6s,0,95.4,4.6,0
A7o,100,0,0,0
A7s,0,85,15,0
A8o,100,0,0,0
A8s,0,100,0,0
A9o,100,0,0,0
A9s,0,84.6,15.4,0
AA,0,0,100,0
AJo,0,35,65,0
AJs,0,100,0,0
AKo,0,0,89.6,10.4
AKs,0,0,100,0
AQo,0,0,41.8,58.2
AQs,0,0,100,0
ATo,0,26.2,73.8,0
ATs,0,100,0,0
J2o,100,0,0,0
J2s,100,0,0,0
J3o,100,0,0,0
J3s,100,0,0,0
J4o,100,0,0,0
J4s,100,0,0,0
J5o,100,0,0,0
J5s,100,0,0,0
J6o,100,0,0,0
J6s,100,0,0,0
J7o,100,0,0,0
J7s,100,0,0,0
J8o,100,0,0,0
J8s,0,91.8,8.2,0
J9o,100,0,0,0
J9s,0,62.4,37.6,0
JJ,0,0,100,0
JTo,100,0,0,0
JTs,0,76.6,23.4,0
K2o,100,0,0,0
K2s,70.4,29.6,0,0
K3o,100,0,0,0
K3s,17.6,82.4,0,0
K4o,100,0,0,0
K4s,2.8,97.2,0,0
K5o,100,0,0,0
K5s,0,61.6,38.4,0
K6o,100,0,0,0
K6s,0,79.6,20.4,0
K7o,100,0,0,0
K7s,0,79.6,20.4,0
K8o,100,0,0,0
K8s,0,100,0,0
K9o,100,0,0,0
K9s,0,47.8,52.2,0
KJo,7,79.8,13.2,0
KJs,0,26.8,0,73.2
KK,0,0,100,0
KQo,0,29.8,70.2,0
KQs,0,100,0,0
KTo,86,0,14,0
KTs,0,99,1,0
Q2o,100,0,0,0
Q2s,100,0,0,0
Q3o,100,0,0,0
Q3s,100,0,0,0
Q4o,100,0,0,0
Q4s,100,0,0,0
Q5o,100,0,0,0
Q5s,46.2,43.4,10.4,0
Q6o,100,0,0,0
Q6s,36,25.4,38.6,0
Q7o,100,0,0,0
Q7s,100,0,0,0
Q8o,100,0,0,0
Q8s,7.2,39.4,53.4,0
Q9o,100,0,0,0
Q9s,0,0,100,0
QJo,100,0,0,0
QJs,0,100,0,0
QQ,0,0,100,0
QTo,95.8,0,4.2,0
QTs,0,51.2,48.8,0
T2o,100,0,0,0
T2s,100,0,0,0
T3o,100,0,0,0
T3s,100,0,0,0
T4o,100,0,0,0
T4s,100,0,0,0
T5o,100,0,0,0
T5s,100,0,0,0
T6o,100,0,0,0
T6s,100,0,0,0
T7o,100,0,0,0
T7s,8,70.7,21.4,0
T8o,100,0,0,0
T8s,0,100,0,0
T9o,100,0,0,0
T9s,0,69.4,30.6,0
TT,0,0,59.8,40.2
