Hand,Fold,Call,Raise10,Allin50
22,0,1,0,-0.6
32o,0,-0.13,-0.38,-3.28
32s,0,0,-0.14,-2.24
33,0,0.95,0.04,-0.46
42o,0,-0.13,-0.37,-3.2
42s,0,0.01,-0.13,-2.17
43o,0,-0.06,-0.27,-2.76
43s,0,0.09,-0.04,-1.75
44,0,0.9,0.05,-0.35
52o,0,-0.13,-0.32,-3.15
52s,0,0.01,-0.08,-2.12
53o,0,-0.03,-0.21,-2.7
53s,0,0.14,0.03,-1.68
54o,0,0,-0.15,-2.32
54s,0,0.19,0.09,-1.33
55,0,0.88,0.12,-0.31
62o,0,-0.22,-0.42,-3.6
62s,0,-0.07,-0.18,-2.53
63o,0,-0.14,-0.31,-3.16
63s,0,0.01,-0.07,-2.12
64o,0,-0.05,-0.22,-2.74
64s,0,0.12,0.02,-1.73
65o,0,0,-0.12,-2.43
65s,0,0.18,0.13,-1.42
66,0,0.93,0.17,-0.31
72o,0,-0.29,-0.53,-4.07
72s,0,-0.15,-0.28,-2.97
73o,0,-0.22,-0.41,-3.62
73s,0,-0.06,-0.17,-2.54
74o,0,-0.17,-0.32,-3.2
74s,0,0,-0.08,-2.17
75o,0,-0.08,-0.21,-2.87
75s,0,0.09,0.04,-1.85
76o,0,-0.04,-0.16,-2.65
76s,0,0.14,0.08,-1.61
77,0,0.99,0.29,-0.39
82o,0,-0.28,-0.51,-4.08
82s,0,-0.13,-0.26,-2.98
83o,0,-0.28,-0.5,-4.06
83s,0,-0.13,-0.26,-2.96
84o,0,-0.25,-0.41,-3.65
84s,0,-0.08,-0.18,-2.58
85o,0,-0.17,-0.3,-3.32
85s,0,0,-0.06,-2.26
86o,0,-0.1,-0.24,-3.09
86s,0,0.08,0.01,-2.03
87o,0,-0.07,-0.2,-2.95
87s,0,0.12,0.05,-1.91
88,0,1.05,0.53,-0.48
92o,0,-0.26,-0.4,-3.51
92s,0,-0.1,-0.16,-2.44
93o,0,-0.24,-0.37,-3.39
93s,0,-0.08,-0.13,-2.33
94o,0,-0.26,-0.39,-3.42
94s,0,-0.1,-0.15,-2.37
95o,0,-0.21,-0.28,-3.06
95s,0,-0.04,-0.04,-2.02
96o,0,-0.14,-0.22,-2.81
96s,0,0.03,0.03,-1.78
97o,0,-0.06,-0.14,-2.65
97s,0,0.13,0.09,-1.63
98o,0,-0.02,-0.11,-2.57
98s,0,0.18,0.14,-1.52
99,0,1.45,1.45,0.89
A2o,0,-0.25,-0.17,-1.73
A2s,0,0.18,0.17,-0.73
A3o,0,-0.22,-0.13,-1.61
A3s,0,0.22,0.2,-0.61
A4o,0,-0.21,-0.12,-1.54
A4s,0,0.23,0.21,-0.54
A5o,0,-0.19,-0.08,-1.5
A5s,0,0.26,0.26,-0.49
A6o,0,-0.29,-0.2,-1.95
A6s,0,0.14,0.14,-0.91
A7o,0,-0.28,-0.17,-1.93
A7s,0,0.17,0.16,-0.9
A8o,0,-0.27,-0.18,-2.05
A8s,0,0.19,0.17,-0.99
A9o,0,-0.18,-0.05,-1.61
A9s,0,0.29,0.28,-0.59
AA,0,8.36,15.12,12.37
AJo,0,0.26,0.25,-0.73
AJs,0,0.72,0.56,0.26
AKo,0,1.39,3.69,3.68
AKs,0,1.83,4.54,4.3
AQo,0,0.89,0.92,0.92
AQs,0,1.41,1.85,1.74
ATo,0,0.03,0.03,-0.98
ATs,0,0.48,0.4,0.02
J2o,0,-0.31,-0.43,-3.07
J2s,0,-0.1,-0.17,-1.99
J3o,0,-0.3,-0.4,-2.94
J3s,0,-0.09,-0.14,-1.85
J4o,0,-0.3,-0.39,-2.87
J4s,0,-0.08,-0.12,-1.8
J5o,0,-0.3,-0.35,-2.84
J5s,0,-0.07,-0.08,-1.76
J6o,0,-0.28,-0.36,-2.93
J6s,0,-0.06,-0.1,-1.85
J7o,0,-0.26,-0.31,-2.73
J7s,0,-0.03,-0.04,-1.66
J8o,0,-0.24,-0.27,-2.57
J8s,0,0.01,0,-1.49
J9o,0,-0.12,-0.14,-1.86
J9s,0,0.14,0.14,-0.83
JJ,0,3.19,5.44,5.18
JTo,0,-0.06,-0.04,-1.14
JTs,0,0.25,0.25,-0.14
K2o,0,-0.27,-0.32,-2.25
K2s,0,0,-0.06,-1.2
K3o,0,-0.27,-0.29,-2.14
K3s,0,0,-0.02,-1.1
K4o,0,-0.27,-0.3,-2.06
K4s,0,0,-0.03,-1.03
K5o,0,-0.24,-0.26,-2.01
K5s,0,0.03,0.02,-0.96
K6o,0,-0.23,-0.24,-2.02
K6s,0,0.05,0.04,-0.96
K7o,0,-0.24,-0.24,-2.11
K7s,0,0.04,0.03,-1.04
K8o,0,-0.25,-0.28,-2.27
K8s,0,0.03,0.01,-1.19
K9o,0,-0.18,-0.15,-1.63
K9s,0,0.15,0.14,-0.61
KJo,0,0,0,-0.62
KJs,0,0.38,0.33,0.38
KK,0,6.15,11.37,9.63
KQo,0,0.24,0.24,-0.55
KQs,0,0.57,0.46,0.4
KTo,0,-0.05,0,-0.86
KTs,0,0.29,0.28,0.12
Q2o,0,-0.25,-0.34,-2.78
Q2s,0,-0.03,-0.08,-1.72
Q3o,0,-0.23,-0.31,-2.67
Q3s,0,-0.01,-0.06,-1.62
Q4o,0,-0.24,-0.3,-2.58
Q4s,0,0,-0.04,-1.54
Q5o,0,-0.24,-0.26,-2.55
Q5s,0,0,0,-1.51
Q6o,0,-0.23,-0.26,-2.56
Q6s,0,0,0,-1.51
Q7o,0,-0.23,-0.27,-2.69
Q7s,0,-0.01,-0.02,-1.63
Q8o,0,-0.24,-0.28,-2.54
Q8s,0,0,0,-1.47
Q9o,0,-0.13,-0.12,-1.9
Q9s,0,0.14,0.14,-0.89
QJo,0,-0.04,-0.04,-0.89
QJs,0,0.28,0.27,0.09
QQ,0,4.37,8.07,7.03
QTo,0,-0.03,0,-1.17
QTs,0,0.27,0.27,-0.2
T2o,0,-0.32,-0.43,-3.24
T2s,0,-0.13,-0.18,-2.15
T3o,0,-0.3,-0.4,-3.11
T3s,0,-0.11,-0.14,-2.07
T4o,0,-0.31,-0.39,-3.05
T4s,0,-0.11,-0.14,-1.99
T5o,0,-0.31,-0.37,-3.08
T5s,0,-0.11,-0.12,-2.05
T6o,0,-0.26,-0.31,-2.84
T6s,0,-0.06,-0.07,-1.78
T7o,0,-0.21,-0.25,-2.64
T7s,0,0.01,0,-1.58
T8o,0,-0.16,-0.2,-2.46
T8s,0,0.08,0.06,-1.4
T9o,0,-0.05,-0.05,-1.72
T9s,0,0.21,0.21,-0.72
TT,0,2.28,3.37,3.37
