Hand,Fold,Raise2,Allin75
22,0,0,-2.68
32o,0,-0.24,-3.71
32s,0,-0.17,-2.99
33,0,0,-2.6
42o,0,-0.21,-3.63
42s,0,-0.15,-2.91
43o,0,-0.17,-3.34
43s,0,-0.11,-2.64
44,0,0,-2.5
52o,0,-0.2,-3.55
52s,0,-0.14,-2.84
53o,0,-0.15,-3.26
53s,0,-0.07,-2.57
54o,0,-0.11,-2.96
54s,0,0,-2.29
55,0,0,-2.42
62o,0,-0.24,-3.8
62s,0,-0.18,-3.08
63o,0,-0.19,-3.51
63s,0,-0.12,-2.8
64o,0,-0.14,-3.2
64s,0,-0.05,-2.51
65o,0,-0.11,-2.91
65s,0,0,-2.24
66,0,0,-2.39
72o,0,-0.28,-4.05
72s,0,-0.21,-3.3
73o,0,-0.23,-3.75
73s,0,-0.16,-3.03
74o,0,-0.18,-3.45
74s,0,-0.1,-2.75
75o,0,-0.13,-3.15
75s,0,-0.06,-2.47
76o,0,-0.12,-2.94
76s,0,0,-2.27
77,0,0.03,-2.38
82o,0,-0.26,-4.02
82s,0,-0.19,-3.27
83o,0,-0.25,-4.01
83s,0,-0.18,-3.27
84o,0,-0.2,-3.71
84s,0,-0.13,-2.99
85o,0,-0.15,-3.41
85s,0,-0.08,-2.71
86o,0,-0.12,-3.18
86s,0,-0.02,-2.5
87o,0,-0.1,-3.03
87s,0,0,-2.35
88,0,0.08,-2.39
92o,0,-0.25,-4.03
92s,0,-0.18,-3.29
93o,0,-0.23,-3.96
93s,0,-0.16,-3.23
94o,0,-0.22,-3.95
94s,0,-0.15,-3.21
95o,0,-0.18,-3.65
95s,0,-0.11,-2.94
96o,0,-0.14,-3.43
96s,0,-0.07,-2.72
97o,0,-0.11,-3.25
97s,0,-0.03,-2.56
98o,0,-0.09,-3.15
98s,0,0,-2.47
99,0,0.14,-2.37
A2o,0,-0.12,-1.61
A2s,0,0,-1
A3o,0,-0.1,-1.55
A3s,0,0.01,-0.94
A4o,0,-0.08,-1.48
A4s,0,0.03,-0.88
A5o,0,-0.06,-1.42
A5s,0,0.05,-0.82
A6o,0,-0.09,-1.66
A6s,0,0.02,-1.04
A7o,0,-0.08,-1.6
A7s,0,0.03,-0.99
A8o,0,-0.07,-1.61
A8s,0,0.04,-1.01
A9o,0,-0.06,-1.62
A9s,0,0.05,-1.01
AA,0,7.53,5.71
AJo,0,0.04,-0.98
AJs,0,0.21,-0.45
AKo,0,0.86,0.15
AKs,0,1.38,0.59
AQo,0,0.13,-0.6
AQs,0,0.52,-0.09
ATo,0,0,-1.4
ATs,0,0.12,-0.81
J2o,0,-0.22,-3.42
J2s,0,-0.14,-2.73
J3o,0,-0.2,-3.36
J3s,0,-0.12,-2.67
J4o,0,-0.18,-3.29
J4s,0,-0.1,-2.61
J5o,0,-0.17,-3.22
J5s,0,-0.08,-2.55
J6o,0,-0.17,-3.26
J6s,0,-0.09,-2.59
J7o,0,-0.14,-3.07
J7s,0,-0.06,-2.41
J8o,0,-0.11,-2.9
J8s,0,-0.03,-2.25
J9o,0,-0.08,-2.76
J9s,0,0,-2.12
JJ,0,0.55,-0.84
JTo,0,-0.02,-2.54
JTs,0,0.06,-1.93
K2o,0,-0.15,-2.68
K2s,0,-0.05,-2.02
K3o,0,-0.13,-2.62
K3s,0,-0.03,-1.97
K4o,0,-0.11,-2.55
K4s,0,-0.01,-1.91
K5o,0,-0.1,-2.49
K5s,0,0,-1.85
K6o,0,-0.1,-2.48
K6s,0,0,-1.84
K7o,0,-0.1,-2.48
K7s,0,0,-1.84
K8o,0,-0.1,-2.52
K8s,0,0,-1.88
K9o,0,-0.07,-2.4
K9s,0,0.02,-1.77
KJo,0,0,-1.75
KJs,0,0.14,-1.2
KK,0,4.12,2.82
KQo,0,0.06,-1.3
KQs,0,0.23,-0.78
KTo,0,0,-2.17
KTs,0,0.1,-1.56
Q2o,0,-0.16,-3.22
Q2s,0,-0.07,-2.52
Q3o,0,-0.14,-3.15
Q3s,0,-0.05,-2.46
Q4o,0,-0.12,-3.08
Q4s,0,-0.03,-2.39
Q5o,0,-0.1,-3.02
Q5s,0,-0.02,-2.33
Q6o,0,-0.1,-3.01
Q6s,0,-0.02,-2.33
Q7o,0,-0.11,-3.05
Q7s,0,-0.02,-2.37
Q8o,0,-0.09,-2.9
Q8s,0,0,-2.23
Q9o,0,-0.07,-2.75
Q9s,0,0.02,-2.09
QJo,0,0,-2.11
QJs,0,0.09,-1.52
QQ,0,1.57,0.87
QTo,0,0,-2.54
QTs,0,0.09,-1.9
T2o,0,-0.23,-3.94
T2s,0,-0.15,-3.21
T3o,0,-0.21,-3.88
T3s,0,-0.13,-3.15
T4o,0,-0.2,-3.8
T4s,0,-0.12,-3.08
T5o,0,-0.18,-3.79
T5s,0,-0.11,-3.07
T6o,0,-0.16,-3.56
T6s,0,-0.08,-2.86
T7o,0,-0.13,-3.38
T7s,0,-0.05,-2.68
T8o,0,-0.09,-3.22
T8s,0,-0.01,-2.54
T9o,0,-0.08,-3.1
T9s,0,0,-2.42
TT,0,0.27,-2.14
