Hand,Fold,Raise2,Allin75
22,0,0,-1.94
32o,0,-0.24,-3.45
32s,0,-0.17,-2.71
33,0,0,-1.83
42o,0,-0.22,-3.37
42s,0,-0.15,-2.63
43o,0,-0.17,-3.08
43s,0,-0.1,-2.35
44,0,0,-1.73
52o,0,-0.2,-3.3
52s,0,-0.13,-2.56
53o,0,-0.15,-2.99
53s,0,-0.07,-2.28
54o,0,-0.11,-2.71
54s,0,0,-2.01
55,0,0.01,-1.63
62o,0,-0.24,-3.53
62s,0,-0.17,-2.78
63o,0,-0.19,-3.23
63s,0,-0.11,-2.5
64o,0,-0.14,-2.94
64s,0,-0.06,-2.23
65o,0,-0.1,-2.65
65s,0,0,-1.96
66,0,0.05,-1.56
72o,0,-0.28,-3.74
72s,0,-0.2,-2.98
73o,0,-0.22,-3.44
73s,0,-0.15,-2.7
74o,0,-0.17,-3.15
74s,0,-0.09,-2.43
75o,0,-0.13,-2.85
75s,0,-0.05,-2.15
76o,0,-0.1,-2.62
76s,0,0,-1.94
77,0,0.11,-1.47
82o,0,-0.27,-3.7
82s,0,-0.19,-2.94
83o,0,-0.25,-3.69
83s,0,-0.17,-2.93
84o,0,-0.2,-3.4
84s,0,-0.13,-2.66
85o,0,-0.16,-3.1
85s,0,-0.08,-2.38
86o,0,-0.11,-2.85
86s,0,-0.03,-2.15
87o,0,-0.09,-2.65
87s,0,0,-1.96
88,0,0.16,-1.39
92o,0,-0.25,-3.72
92s,0,-0.17,-2.96
93o,0,-0.23,-3.64
93s,0,-0.15,-2.88
94o,0,-0.21,-3.64
94s,0,-0.14,-2.88
95o,0,-0.17,-3.34
95s,0,-0.1,-2.6
96o,0,-0.13,-3.1
96s,0,-0.05,-2.38
97o,0,-0.09,-2.87
97s,0,-0.01,-2.17
98o,0,-0.08,-2.78
98s,0,0,-2.08
99,0,0.25,-1.35
A2o,0,-0.09,-1.85
A2s,0,0.04,-1.23
A3o,0,-0.07,-1.78
A3s,0,0.06,-1.16
A4o,0,-0.04,-1.72
A4s,0,0.08,-1.1
A5o,0,-0.02,-1.65
A5s,0,0.1,-1.04
A6o,0,-0.05,-1.86
A6s,0,0.07,-1.24
A7o,0,-0.03,-1.79
A7s,0,0.09,-1.17
A8o,0,-0.02,-1.78
A8s,0,0.1,-1.17
A9o,0,0,-1.79
A9s,0,0.12,-1.17
AA,0,7.67,5.64
AJo,0,0.14,-1.38
AJs,0,0.36,-0.81
AKo,0,1.15,0.3
AKs,0,1.67,0.72
AQo,0,0.25,-1.04
AQs,0,0.67,-0.5
ATo,0,0.08,-1.54
ATs,0,0.22,-0.95
J2o,0,-0.21,-3.45
J2s,0,-0.11,-2.71
J3o,0,-0.18,-3.38
J3s,0,-0.09,-2.64
J4o,0,-0.16,-3.31
J4s,0,-0.07,-2.58
J5o,0,-0.15,-3.23
J5s,0,-0.06,-2.51
J6o,0,-0.14,-3.27
J6s,0,-0.06,-2.54
J7o,0,-0.12,-3.04
J7s,0,-0.03,-2.33
J8o,0,-0.09,-2.83
J8s,0,0,-2.14
J9o,0,-0.05,-2.67
J9s,0,0.03,-1.99
JJ,0,0.98,-0.39
JTo,0,0,-2.39
JTs,0,0.09,-1.74
K2o,0,-0.16,-2.7
K2s,0,-0.05,-2.03
K3o,0,-0.14,-2.63
K3s,0,-0.03,-1.97
K4o,0,-0.12,-2.56
K4s,0,-0.01,-1.91
K5o,0,-0.1,-2.49
K5s,0,0,-1.84
K6o,0,-0.1,-2.46
K6s,0,0,-1.82
K7o,0,-0.1,-2.44
K7s,0,0.01,-1.8
K8o,0,-0.1,-2.46
K8s,0,0.01,-1.81
K9o,0,-0.06,-2.36
K9s,0,0.04,-1.72
KJo,0,0.04,-1.9
KJs,0,0.21,-1.31
KK,0,4.67,2.88
KQo,0,0.1,-1.54
KQs,0,0.33,-0.98
KTo,0,0,-2.05
KTs,0,0.13,-1.44
Q2o,0,-0.17,-3.04
Q2s,0,-0.07,-2.33
Q3o,0,-0.15,-2.97
Q3s,0,-0.05,-2.26
Q4o,0,-0.13,-2.91
Q4s,0,-0.03,-2.2
Q5o,0,-0.11,-2.83
Q5s,0,-0.02,-2.13
Q6o,0,-0.11,-2.81
Q6s,0,-0.01,-2.11
Q7o,0,-0.1,-2.83
Q7s,0,-0.01,-2.14
Q8o,0,-0.09,-2.63
Q8s,0,0,-1.94
Q9o,0,-0.06,-2.46
Q9s,0,0.04,-1.79
QJo,0,0.03,-2.04
QJs,0,0.13,-1.41
QQ,0,2.26,0.9
QTo,0,0,-2.18
QTs,0,0.1,-1.53
T2o,0,-0.24,-3.61
T2s,0,-0.15,-2.86
T3o,0,-0.21,-3.53
T3s,0,-0.12,-2.79
T4o,0,-0.19,-3.46
T4s,0,-0.11,-2.73
T5o,0,-0.18,-3.45
T5s,0,-0.1,-2.71
T6o,0,-0.15,-3.21
T6s,0,-0.07,-2.49
T7o,0,-0.11,-2.98
T7s,0,-0.03,-2.27
T8o,0,-0.09,-2.79
T8s,0,0,-2.1
T9o,0,-0.06,-2.64
T9s,0,0.03,-1.95
TT,0,0.44,-1.03
