Hand,Fold,Call,Raise6.5,Allin75
22,0,0,-0.07,-2.77
32o,0,-0.56,-0.43,-4.27
32s,0,-0.3,-0.31,-3.22
33,0,0,-0.03,-2.61
42o,0,-0.52,-0.41,-4.17
42s,0,-0.26,-0.29,-3.12
43o,0,-0.41,-0.36,-3.72
43s,0,-0.15,-0.23,-2.7
44,0,0,-0.01,-2.5
52o,0,-0.51,-0.39,-4.04
52s,0,-0.24,-0.27,-3.01
53o,0,-0.36,-0.32,-3.59
53s,0,-0.09,-0.19,-2.58
54o,0,-0.29,-0.26,-3.17
54s,0,0,-0.12,-2.19
55,0,0,0,-2.37
62o,0,-0.62,-0.44,-4.4
62s,0,-0.35,-0.32,-3.34
63o,0,-0.47,-0.37,-3.95
63s,0,-0.2,-0.25,-2.92
64o,0,-0.37,-0.31,-3.52
64s,0,-0.08,-0.17,-2.51
65o,0,-0.3,-0.25,-3.12
65s,0,0,-0.1,-2.14
66,0,0,0,-2.27
72o,0,-0.75,-0.5,-4.74
72s,0,-0.49,-0.38,-3.66
73o,0,-0.62,-0.43,-4.29
73s,0,-0.35,-0.31,-3.24
74o,0,-0.51,-0.37,-3.86
74s,0,-0.23,-0.25,-2.83
75o,0,-0.4,-0.3,-3.44
75s,0,-0.12,-0.18,-2.44
76o,0,-0.31,-0.28,-3.16
76s,0,-0.01,-0.13,-2.17
77,0,0,0,-2.17
82o,0,-0.73,-0.49,-4.61
82s,0,-0.46,-0.37,-3.53
83o,0,-0.71,-0.48,-4.59
83s,0,-0.44,-0.36,-3.52
84o,0,-0.63,-0.42,-4.17
84s,0,-0.35,-0.3,-3.12
85o,0,-0.51,-0.35,-3.75
85s,0,-0.22,-0.23,-2.73
86o,0,-0.38,-0.3,-3.44
86s,0,-0.08,-0.18,-2.43
87o,0,-0.32,-0.28,-3.16
87s,0,-0.02,-0.15,-2.18
88,0,0,0,-1.95
92o,0,-0.7,-0.5,-4.52
92s,0,-0.43,-0.37,-3.45
93o,0,-0.67,-0.48,-4.41
93s,0,-0.4,-0.35,-3.35
94o,0,-0.68,-0.47,-4.4
94s,0,-0.41,-0.35,-3.34
95o,0,-0.6,-0.4,-3.99
95s,0,-0.32,-0.28,-2.96
96o,0,-0.46,-0.36,-3.67
96s,0,-0.17,-0.24,-2.66
97o,0,-0.36,-0.32,-3.36
97s,0,-0.08,-0.2,-2.37
98o,0,-0.3,-0.28,-3.14
98s,0,0,-0.15,-2.16
99,0,0.06,0.06,-1.51
A2o,0,-0.43,-0.22,-1.78
A2s,0,-0.05,-0.03,-0.84
A3o,0,-0.39,-0.19,-1.67
A3s,0,0,0,-0.74
A4o,0,-0.37,-0.17,-1.59
A4s,0,0.01,0.01,-0.66
A5o,0,-0.35,-0.14,-1.49
A5s,0,0.03,0.03,-0.56
A6o,0,-0.39,-0.2,-1.85
A6s,0,-0.01,-0.01,-0.9
A7o,0,-0.39,-0.19,-1.75
A7s,0,0,0,-0.81
A8o,0,-0.37,-0.18,-1.71
A8s,0,0,0,-0.77
A9o,0,-0.36,-0.18,-1.61
A9s,0,0,0,-0.68
AA,0,11.13,13.26,9.91
AJo,0,-0.03,0,-1.1
AJs,0,0.28,0.28,-0.21
AKo,0,1.56,1.56,0.96
AKs,0,2.17,2.42,1.67
AQo,0,0.21,0.21,-0.35
AQs,0,0.8,0.8,0.47
ATo,0,-0.2,-0.02,-1.26
ATs,0,0.13,0.13,-0.35
J2o,0,-0.69,-0.42,-4.44
J2s,0,-0.42,-0.28,-3.36
J3o,0,-0.66,-0.4,-4.33
J3s,0,-0.39,-0.27,-3.26
J4o,0,-0.65,-0.38,-4.23
J4s,0,-0.38,-0.25,-3.17
J5o,0,-0.62,-0.36,-4.13
J5s,0,-0.35,-0.22,-3.08
J6o,0,-0.59,-0.37,-4.21
J6s,0,-0.31,-0.23,-3.14
J7o,0,-0.55,-0.33,-3.89
J7s,0,-0.28,-0.2,-2.85
J8o,0,-0.47,-0.29,-3.59
J8s,0,-0.2,-0.15,-2.57
J9o,0,-0.36,-0.26,-3.29
J9s,0,-0.09,-0.12,-2.29
JJ,0,1.01,1.02,-0.25
JTo,0,-0.25,-0.14,-3.01
JTs,0,0,-0.01,-2.02
K2o,0,-0.5,-0.23,-2.99
K2s,0,-0.19,-0.07,-2.01
K3o,0,-0.47,-0.21,-2.89
K3s,0,-0.15,-0.05,-1.93
K4o,0,-0.45,-0.19,-2.81
K4s,0,-0.13,-0.04,-1.84
K5o,0,-0.41,-0.16,-2.71
K5s,0,-0.1,0,-1.75
K6o,0,-0.36,-0.16,-2.69
K6s,0,-0.04,0,-1.72
K7o,0,-0.39,-0.17,-2.67
K7s,0,-0.07,-0.01,-1.71
K8o,0,-0.39,-0.17,-2.67
K8s,0,-0.08,-0.01,-1.7
K9o,0,-0.32,-0.16,-2.38
K9s,0,-0.02,0,-1.43
KJo,0,-0.08,0,-1.92
KJs,0,0.17,0.17,-1.01
KK,0,6.75,7.64,5.39
KQo,0,0.06,0.08,-1.22
KQs,0,0.28,0.28,-0.4
KTo,0,-0.18,-0.03,-2.01
KTs,0,0.09,0.09,-1.1
Q2o,0,-0.61,-0.32,-3.71
Q2s,0,-0.32,-0.17,-2.68
Q3o,0,-0.58,-0.29,-3.61
Q3s,0,-0.29,-0.14,-2.59
Q4o,0,-0.56,-0.27,-3.52
Q4s,0,-0.28,-0.13,-2.5
Q5o,0,-0.54,-0.24,-3.42
Q5s,0,-0.25,-0.1,-2.42
Q6o,0,-0.49,-0.24,-3.41
Q6s,0,-0.2,-0.1,-2.41
Q7o,0,-0.52,-0.26,-3.45
Q7s,0,-0.23,-0.12,-2.44
Q8o,0,-0.47,-0.23,-3.15
Q8s,0,-0.18,-0.07,-2.15
Q9o,0,-0.39,-0.21,-2.82
Q9s,0,-0.1,-0.06,-1.85
QJo,0,-0.16,-0.06,-2.42
QJs,0,0.09,0.09,-1.48
QQ,0,3.19,3.19,1.85
QTo,0,-0.22,-0.1,-2.5
QTs,0,0.04,0.04,-1.55
T2o,0,-0.73,-0.44,-4.47
T2s,0,-0.47,-0.31,-3.41
T3o,0,-0.7,-0.42,-4.37
T3s,0,-0.43,-0.28,-3.3
T4o,0,-0.69,-0.4,-4.27
T4s,0,-0.42,-0.27,-3.21
T5o,0,-0.68,-0.39,-4.26
T5s,0,-0.41,-0.25,-3.21
T6o,0,-0.58,-0.34,-3.94
T6s,0,-0.3,-0.21,-2.9
T7o,0,-0.5,-0.31,-3.61
T7s,0,-0.22,-0.18,-2.6
T8o,0,-0.4,-0.26,-3.31
T8s,0,-0.12,-0.14,-2.32
T9o,0,-0.31,-0.23,-3.02
T9s,0,-0.02,-0.1,-2.04
TT,0,0.34,0.34,-0.92
