Hand,Fold,Call,Raise7,Allin75
22,0,0,0,-2.05
32o,0,-0.55,-0.36,-4.89
32s,0,-0.28,-0.27,-3.71
33,0,0,0,-1.86
42o,0,-0.51,-0.35,-4.76
42s,0,-0.24,-0.25,-3.59
43o,0,-0.41,-0.3,-4.28
43s,0,-0.13,-0.21,-3.14
44,0,0,0,-1.65
52o,0,-0.5,-0.34,-4.66
52s,0,-0.21,-0.24,-3.5
53o,0,-0.35,-0.29,-4.17
53s,0,-0.07,-0.19,-3.04
54o,0,-0.3,-0.24,-3.7
54s,0,0,-0.14,-2.6
55,0,0,0,-1.49
62o,0,-0.62,-0.39,-5.04
62s,0,-0.33,-0.28,-3.85
63o,0,-0.48,-0.33,-4.56
63s,0,-0.19,-0.23,-3.4
64o,0,-0.38,-0.28,-4.08
64s,0,-0.08,-0.18,-2.94
65o,0,-0.31,-0.24,-3.62
65s,0,0,-0.14,-2.51
66,0,0,0,-1.4
72o,0,-0.76,-0.43,-5.46
72s,0,-0.48,-0.33,-4.25
73o,0,-0.63,-0.37,-4.98
73s,0,-0.34,-0.27,-3.79
74o,0,-0.52,-0.32,-4.5
74s,0,-0.22,-0.22,-3.34
75o,0,-0.4,-0.28,-4.04
75s,0,-0.1,-0.18,-2.91
76o,0,-0.3,-0.25,-3.66
76s,0,0,-0.15,-2.55
77,0,0,0,-1.39
82o,0,-0.73,-0.41,-5.45
82s,0,-0.45,-0.31,-4.23
83o,0,-0.72,-0.41,-5.44
83s,0,-0.43,-0.3,-4.23
84o,0,-0.64,-0.36,-4.96
84s,0,-0.35,-0.26,-3.77
85o,0,-0.51,-0.32,-4.5
85s,0,-0.21,-0.22,-3.33
86o,0,-0.37,-0.27,-4.1
86s,0,-0.07,-0.17,-2.96
87o,0,-0.31,-0.25,-3.8
87s,0,0,-0.15,-2.68
88,0,0.07,0.07,-1.41
92o,0,-0.7,-0.42,-5.44
92s,0,-0.41,-0.31,-4.22
93o,0,-0.68,-0.4,-5.32
93s,0,-0.39,-0.3,-4.11
94o,0,-0.69,-0.4,-5.32
94s,0,-0.4,-0.29,-4.11
95o,0,-0.6,-0.35,-4.85
95s,0,-0.31,-0.25,-3.67
96o,0,-0.46,-0.31,-4.45
96s,0,-0.16,-0.21,-3.29
97o,0,-0.35,-0.28,-4.12
97s,0,-0.05,-0.18,-2.98
98o,0,-0.31,-0.24,-4.05
98s,0,0,-0.13,-2.9
99,0,0.2,0.2,-1.21
A2o,0,-0.44,-0.17,-2.87
A2s,0,-0.02,0,-1.79
A3o,0,-0.4,-0.15,-2.75
A3s,0,0.01,0.01,-1.68
A4o,0,-0.38,-0.13,-2.59
A4s,0,0.03,0.03,-1.54
A5o,0,-0.33,-0.11,-2.54
A5s,0,0.08,0.08,-1.48
A6o,0,-0.41,-0.16,-2.91
A6s,0,0,0,-1.82
A7o,0,-0.4,-0.15,-2.83
A7s,0,0.01,0.01,-1.74
A8o,0,-0.38,-0.14,-2.88
A8s,0,0.01,0.01,-1.79
A9o,0,-0.36,-0.13,-2.85
A9s,0,0.02,0.02,-1.77
AA,0,10.52,12.91,10.79
AJo,0,0.02,0.02,-2.46
AJs,0,0.4,0.4,-1.41
AKo,0,1.98,1.99,1.21
AKs,0,2.54,2.79,1.91
AQo,0,0.27,0.27,-1.72
AQs,0,0.89,0.89,-0.74
ATo,0,-0.15,0,-2.53
ATs,0,0.22,0.21,-1.47
J2o,0,-0.68,-0.35,-5.5
J2s,0,-0.39,-0.24,-4.26
J3o,0,-0.65,-0.34,-5.38
J3s,0,-0.36,-0.23,-4.15
J4o,0,-0.64,-0.32,-5.27
J4s,0,-0.35,-0.21,-4.05
J5o,0,-0.6,-0.32,-5.17
J5s,0,-0.32,-0.2,-3.95
J6o,0,-0.59,-0.32,-5.22
J6s,0,-0.3,-0.21,-4
J7o,0,-0.54,-0.28,-4.88
J7s,0,-0.25,-0.17,-3.67
J8o,0,-0.45,-0.25,-4.62
J8s,0,-0.17,-0.14,-3.43
J9o,0,-0.34,-0.22,-4.34
